statement_id,mean,median,mode,std
0,3.4,3.0,3,0.5163977794943223
1,1.1,1.0,1,0.31622776601683794
2,2.2,2.0,2,0.42163702135578385
3,1.0,1.0,1,0.0
4,2.1,2.0,2,0.31622776601683794
5,1.0,1.0,1,0.0
6,3.3,3.0,3,0.4830458915396479
7,3.2,3.0,3,0.42163702135578385
8,3.1,3.0,3,0.31622776601683794
9,3.1,3.0,3,0.31622776601683794
10,3.0,3.0,3,0.0
11,1.6,1.0,1,0.8432740427115677
12,1.3,1.0,1,0.9486832980505138
13,2.4,3.0,3,0.9660917830792959
14,3.5,3.5,3,0.5270462766947299
15,2.2,2.0,2,0.6324555320336759
16,1.1,1.0,1,0.31622776601683794
17,1.4,1.0,1,0.5163977794943222
18,1.2,1.0,1,0.4216370213557839
19,3.2,3.0,3,0.42163702135578396
20,3.0,3.0,3,0.0
21,1.0,1.0,1,0.0
22,3.0,3.0,3,0.0
23,1.6,2.0,2,0.5163977794943222
24,1.4,1.0,1,0.5163977794943222
25,2.2,2.5,3,0.9189365834726815
26,1.3,1.0,1,0.4830458915396479
27,1.0,1.0,1,0.0
28,2.5,2.5,2,0.5270462766947299
29,3.2,3.0,3,0.4216370213557839
30,1.7,2.0,2,0.48304589153964794
31,1.0,1.0,1,0.0
32,3.0,3.0,3,0.4714045207910318
33,3.0,3.0,3,0.0
34,1.5,1.0,1,0.97182531580755
35,1.7,2.0,2,0.48304589153964794
36,1.2,1.0,1,0.4216370213557839
37,2.8,3.0,3,0.6324555320336759
38,1.8,2.0,2,0.9189365834726815
39,2.4,2.0,1,1.505545305418162
40,1.0,1.0,1,0.0
41,1.3,1.0,1,0.4830458915396479
42,1.1,1.0,1,0.31622776601683794
43,1.1,1.0,1,0.31622776601683794
44,1.3,1.0,1,0.48304589153964794
45,1.3,1.0,1,0.4830458915396479
46,2.1,1.5,1,1.3703203194062976
47,1.0,1.0,1,0.0
48,1.0,1.0,1,0.0
49,1.0,1.0,1,0.0
50,3.0,3.0,3,0.0
51,1.2,1.0,1,0.4216370213557839
52,1.1,1.0,1,0.31622776601683794
53,1.7,2.0,2,0.48304589153964794
54,2.9,3.0,3,0.316227766016838
55,1.8,2.0,1,0.7888106377466155
56,1.9,2.0,2,0.5676462121975466
57,3.0,3.0,3,0.0
58,3.0,3.0,3,0.0
59,3.6,4.0,4,0.5163977794943223
60,1.0,1.0,1,0.0
61,2.4,2.0,2,0.9660917830792958
