statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,1.0,1.0,1,0.0
2,2.0,2.0,2,0.0
3,1.6,2.0,2,0.5163977794943222
4,2.0,2.0,2,0.0
5,1.0,1.0,1,0.0
6,2.9,3.0,3,0.31622776601683794
7,2.0,2.0,2,0.0
8,2.0,2.0,2,0.0
9,3.9,4.0,4,0.31622776601683794
10,3.4,3.0,3,0.5163977794943223
11,2.0,2.0,2,0.0
12,4.0,4.0,4,0.0
13,4.0,4.0,4,0.0
14,3.2,3.0,3,0.4216370213557839
15,3.0,3.0,3,0.0
16,2.0,2.0,2,0.0
17,2.0,2.0,2,0.0
18,2.0,2.0,2,0.0
19,4.0,4.0,4,0.0
20,3.0,3.0,3,0.0
21,2.0,2.0,2,0.0
22,3.0,3.0,3,0.0
23,1.1,1.0,1,0.31622776601683794
24,2.0,2.0,2,0.0
25,2.0,2.0,2,0.0
26,1.9,2.0,2,0.31622776601683794
27,2.0,2.0,2,0.0
28,3.0,3.0,3,0.0
29,3.0,3.0,3,0.0
30,2.0,2.0,2,0.0
31,1.0,1.0,1,0.0
32,2.0,2.0,2,0.0
33,4.0,4.0,4,0.0
34,2.0,2.0,2,0.0
35,2.0,2.0,2,0.0
36,2.0,2.0,2,0.0
37,2.0,2.0,2,0.0
38,1.6,2.0,2,0.5163977794943222
39,1.9,2.0,2,0.31622776601683794
40,1.0,1.0,1,0.0
41,2.0,2.0,2,0.0
42,2.0,2.0,2,0.0
43,2.0,2.0,2,0.0
44,2.0,2.0,2,0.0
45,2.0,2.0,2,0.0
46,2.0,2.0,2,0.0
47,2.0,2.0,2,0.0
48,2.0,2.0,2,0.0
49,1.0,1.0,1,0.0
50,3.0,3.0,3,0.0
51,2.0,2.0,2,0.0
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,2.0,2.0,2,0.0
55,2.0,2.0,2,0.0
56,2.0,2.0,2,0.0
57,4.0,4.0,4,0.0
58,4.0,4.0,4,0.0
59,4.0,4.0,4,0.0
60,1.0,1.0,1,0.0
61,2.0,2.0,2,0.0
