statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,3.7,4.0,4,0.9486832980505138
2,1.9,2.0,2,0.31622776601683794
3,1.8,2.0,2,0.4216370213557839
4,3.7,4.0,4,0.9486832980505138
5,1.9,2.0,2,0.31622776601683794
6,2.0,2.0,2,0.816496580927726
7,1.8,2.0,2,0.42163702135578385
8,1.9,2.0,2,0.31622776601683794
9,3.5,4.0,4,1.0801234497346435
10,3.6,4.0,4,0.5163977794943222
11,2.1,2.0,2,1.1005049346146119
12,1.0,1.0,1,0.0
13,1.0,1.0,1,0.0
14,1.0,1.0,1,0.0
15,2.0,2.0,2,0.0
16,1.9,2.0,2,0.31622776601683794
17,1.7,2.0,2,0.9486832980505138
18,2.0,2.0,2,0.0
19,2.0,2.0,2,0.0
20,2.2,2.0,1,1.3165611772087666
21,2.0,2.0,2,0.0
22,4.0,4.0,4,0.0
23,1.7,2.0,2,0.48304589153964794
24,1.7,2.0,2,0.48304589153964794
25,1.1,1.0,1,0.31622776601683794
26,2.0,2.0,2,0.0
27,2.0,2.0,2,0.0
28,3.0,3.0,2,0.9428090415820634
29,3.9,4.0,4,0.31622776601683794
30,2.0,2.0,2,0.0
31,1.4,1.0,1,0.5163977794943222
32,2.2,2.0,2,0.6324555320336759
33,4.0,4.0,4,0.0
34,2.0,2.0,2,0.0
35,1.9,2.0,2,0.5676462121975466
36,1.7,2.0,2,0.48304589153964794
37,3.2,3.0,3,0.6324555320336759
38,1.2,1.0,1,0.42163702135578396
39,1.5,1.5,1,0.5270462766947299
40,1.7,2.0,2,0.48304589153964794
41,2.0,2.0,2,0.0
42,3.2,4.0,4,1.0327955589886444
43,1.9,2.0,2,0.31622776601683794
44,1.2,1.0,1,0.4216370213557839
45,2.0,2.0,2,0.0
46,2.0,2.0,2,0.0
47,2.0,2.0,2,0.0
48,2.0,2.0,2,0.0
49,1.5,1.5,1,0.5270462766947299
50,3.1,3.0,3,0.31622776601683794
51,1.8,2.0,2,0.4216370213557839
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,1.6,2.0,2,0.5163977794943222
55,2.0,2.0,2,0.0
56,1.6,2.0,2,0.5163977794943222
57,3.6,4.0,4,0.5163977794943222
58,3.5,3.5,3,0.5270462766947299
59,1.6,1.0,1,1.2649110640673518
60,1.7,2.0,2,0.48304589153964794
61,2.0,2.0,2,0.0
