statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,4.0,4.0,4,0.0
2,2.0,2.0,2,0.0
3,1.3,1.0,1,0.48304589153964794
4,1.9,2.0,2,0.31622776601683794
5,1.6,2.0,2,0.5163977794943222
6,4.0,4.0,4,0.0
7,1.5,1.5,1,0.5270462766947299
8,1.8,2.0,2,0.4216370213557839
9,4.0,4.0,4,0.0
10,3.9,4.0,4,0.31622776601683794
11,1.9,2.0,2,0.31622776601683794
12,1.0,1.0,1,0.0
13,3.7,4.0,4,0.9486832980505139
14,2.2,1.0,1,1.5491933384829668
15,2.0,2.0,2,0.0
16,1.6,2.0,2,0.5163977794943222
17,3.2,4.0,4,1.3165611772087666
18,1.9,2.0,2,0.31622776601683794
19,2.0,2.0,1,1.1547005383792515
20,4.0,4.0,4,0.0
21,2.0,2.0,2,0.0
22,4.0,4.0,4,0.0
23,1.5,1.5,1,0.5270462766947299
24,2.5,2.0,4,1.3540064007726602
25,3.2,4.0,4,1.3165611772087666
26,1.7,2.0,2,0.48304589153964794
27,1.6,2.0,2,0.5163977794943222
28,2.5,2.0,2,0.8498365855987975
29,4.0,4.0,4,0.0
30,2.2,2.0,2,0.6324555320336759
31,1.2,1.0,1,0.4216370213557839
32,2.3,2.0,2,0.674948557710553
33,4.0,4.0,4,0.0
34,2.0,2.0,2,0.0
35,2.0,2.0,2,0.0
36,2.0,2.0,2,0.0
37,2.0,2.0,2,0.0
38,1.5,1.5,1,0.5270462766947299
39,1.3,1.0,1,0.48304589153964794
40,1.2,1.0,1,0.42163702135578396
41,1.3,1.0,1,0.48304589153964794
42,1.9,2.0,2,0.31622776601683794
43,1.6,2.0,2,0.5163977794943222
44,2.0,2.0,2,0.0
45,1.7,2.0,2,0.48304589153964794
46,2.0,2.0,2,0.0
47,2.0,2.0,2,0.0
48,1.6,2.0,2,0.5163977794943222
49,1.0,1.0,1,0.0
50,2.2,2.0,2,0.6324555320336758
51,1.7,2.0,2,0.4830458915396479
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,1.6,2.0,2,0.5163977794943222
55,2.0,2.0,2,0.0
56,1.8,2.0,2,0.4216370213557839
57,4.0,4.0,4,0.0
58,3.7,4.0,4,0.483045891539648
59,1.5,1.5,1,0.5270462766947299
60,1.3,1.0,1,0.4830458915396479
61,2.0,2.0,2,0.0
