statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,3.4,3.0,3,0.5163977794943222
2,2.4,2.0,2,0.5163977794943223
3,1.3,1.0,1,0.48304589153964794
4,1.9,2.0,2,0.7378647873726217
5,1.3,1.0,1,0.48304589153964794
6,3.1,3.0,3,0.5676462121975466
7,1.8,2.0,2,0.4216370213557839
8,2.4,3.0,3,0.8432740427115678
9,3.8,4.0,4,0.42163702135578396
10,3.6,4.0,4,0.5163977794943222
11,2.7,3.0,3,0.4830458915396479
12,1.0,1.0,1,0.0
13,4.0,4.0,4,0.0
14,2.1,1.0,1,1.449137674618944
15,2.0,2.0,2,0.0
16,1.4,1.0,1,0.5163977794943222
17,2.5,3.0,3,0.7071067811865476
18,2.1,2.0,2,0.31622776601683794
19,2.0,2.0,2,0.0
20,3.9,4.0,4,0.31622776601683794
21,1.6,2.0,2,0.5163977794943222
22,4.0,4.0,4,0.0
23,1.4,1.0,1,0.5163977794943222
24,3.4,4.0,4,0.8432740427115678
25,3.6,4.0,4,0.5163977794943223
26,1.7,2.0,2,0.6749485577105528
27,1.8,2.0,2,0.4216370213557839
28,3.1,3.0,3,0.7378647873726217
29,3.5,3.5,3,0.5270462766947298
30,3.0,3.0,3,0.0
31,1.6,2.0,2,0.5163977794943222
32,3.0,3.0,3,0.0
33,3.2,3.0,3,0.4216370213557839
34,2.1,2.0,2,0.31622776601683794
35,2.8,3.0,3,0.42163702135578396
36,1.8,2.0,2,0.6324555320336759
37,2.4,2.0,2,0.5163977794943222
38,1.3,1.0,1,0.48304589153964794
39,1.3,1.0,1,0.4830458915396479
40,1.1,1.0,1,0.31622776601683794
41,1.4,1.0,1,0.5163977794943222
42,1.7,2.0,2,0.4830458915396479
43,2.2,2.0,2,0.7888106377466155
44,2.3,2.0,2,0.4830458915396479
45,2.2,2.5,1,1.1352924243950933
46,2.2,2.0,2,0.4216370213557839
47,2.0,2.0,2,0.0
48,1.2,1.0,1,0.4216370213557839
49,1.1,1.0,1,0.31622776601683794
50,3.0,3.0,3,0.0
51,1.6,2.0,2,0.5163977794943222
52,2.1,2.0,2,0.31622776601683794
53,2.4,2.0,2,0.5163977794943222
54,1.3,1.0,1,0.4830458915396479
55,2.1,2.0,2,0.31622776601683805
56,2.0,2.0,2,0.0
57,4.0,4.0,4,0.0
58,3.0,3.0,3,0.0
59,1.7,1.5,1,0.8232726023485645
60,1.0,1.0,1,0.0
61,2.0,2.0,2,0.0
