statement_id,mean,median,mode,std
0,3.8,4.0,4,0.42163702135578385
1,1.0,1.0,1,0.0
2,3.0,3.0,3,0.0
3,1.0,1.0,1,0.0
4,2.0,2.0,2,0.0
5,1.0,1.0,1,0.0
6,3.1,3.0,3,0.31622776601683805
7,3.6,4.0,4,0.5163977794943222
8,3.0,3.0,3,0.9428090415820635
9,3.7,4.0,4,0.48304589153964794
10,3.9,4.0,4,0.31622776601683794
11,1.3,1.0,1,0.4830458915396479
12,3.7,4.0,4,0.9486832980505138
13,2.0,1.0,1,1.3333333333333333
14,4.0,4.0,4,0.0
15,1.8,2.0,2,0.6324555320336759
16,1.0,1.0,1,0.0
17,3.7,4.0,4,0.674948557710553
18,1.0,1.0,1,0.0
19,3.9,4.0,4,0.31622776601683794
20,3.6,4.0,4,0.5163977794943222
21,1.0,1.0,1,0.0
22,3.2,3.0,3,0.42163702135578396
23,1.1,1.0,1,0.31622776601683794
24,1.8,2.0,2,0.6324555320336758
25,3.2,3.0,3,0.4216370213557839
26,1.0,1.0,1,0.0
27,1.0,1.0,1,0.0
28,2.7,3.0,3,0.6749485577105528
29,3.8,4.0,4,0.42163702135578385
30,1.2,1.0,1,0.4216370213557839
31,1.0,1.0,1,0.0
32,2.3,2.0,2,0.4830458915396479
33,3.2,3.0,3,0.42163702135578385
34,1.3,1.0,1,0.48304589153964794
35,1.5,1.5,1,0.5270462766947299
36,1.1,1.0,1,0.31622776601683794
37,1.8,2.0,2,0.4216370213557839
38,1.7,1.0,1,1.0593499054713802
39,3.0,3.0,3,1.1547005383792515
40,1.0,1.0,1,0.0
41,1.0,1.0,1,0.0
42,1.0,1.0,1,0.0
43,1.5,1.5,1,0.5270462766947299
44,1.6,2.0,2,0.5163977794943222
45,1.0,1.0,1,0.0
46,2.2,2.0,1,1.2292725943057183
47,1.0,1.0,1,0.0
48,1.0,1.0,1,0.0
49,3.0,4.0,4,1.4142135623730951
50,2.4,3.0,3,0.8432740427115678
51,1.4,1.0,1,0.5163977794943222
52,1.7,2.0,2,0.48304589153964794
53,1.5,1.5,1,0.5270462766947299
54,2.8,3.0,3,0.6324555320336759
55,1.3,1.0,1,0.48304589153964794
56,1.3,1.0,1,0.4830458915396479
57,3.8,4.0,4,0.421637021355784
58,3.0,3.0,3,0.0
59,3.7,4.0,4,0.4830458915396479
60,1.0,1.0,1,0.0
61,1.4,1.0,1,0.5163977794943222
