statement_id,mean,median,mode,std
0,3.3,3.0,3,0.6749485577105528
1,1.1,1.0,1,0.31622776601683794
2,1.9,2.0,1,0.8755950357709131
3,1.0,1.0,1,0.0
4,1.7,2.0,2,0.6749485577105528
5,1.7,2.0,2,0.48304589153964794
6,3.1,3.0,3,0.31622776601683805
7,2.0,2.0,2,0.816496580927726
8,3.0,3.0,3,0.816496580927726
9,2.3,3.0,3,0.9486832980505138
10,1.7,2.0,2,0.48304589153964794
11,3.0,3.0,3,0.0
12,2.2,2.0,1,1.0327955589886446
13,2.6,3.0,3,0.8432740427115678
14,3.2,3.0,3,0.42163702135578385
15,3.0,3.0,3,0.0
16,1.8,1.0,1,1.1352924243950933
17,3.0,3.0,3,0.0
18,1.3,1.0,1,0.6749485577105528
19,3.2,3.0,3,0.42163702135578385
20,3.0,3.0,3,0.6666666666666666
21,1.7,1.5,1,0.8232726023485646
22,2.4,3.0,3,0.8432740427115678
23,1.0,1.0,1,0.0
24,2.9,3.0,3,0.316227766016838
25,2.9,3.0,3,0.31622776601683794
26,1.3,1.0,1,0.4830458915396479
27,1.1,1.0,1,0.31622776601683794
28,1.9,2.0,2,0.7378647873726218
29,1.7,1.0,1,0.9486832980505138
30,1.8,2.0,2,0.6324555320336759
31,1.0,1.0,1,0.0
32,3.0,3.0,3,0.0
33,3.1,3.0,3,0.316227766016838
34,2.7,3.0,3,0.674948557710553
35,1.5,1.5,1,0.5270462766947299
36,1.4,1.0,1,0.5163977794943222
37,2.7,3.0,3,0.9486832980505138
38,2.1,2.5,3,0.9944289260117533
39,2.6,3.0,3,0.699205898780101
40,1.2,1.0,1,0.4216370213557839
41,1.2,1.0,1,0.4216370213557839
42,1.1,1.0,1,0.31622776601683794
43,2.5,3.0,3,0.8498365855987975
44,1.9,2.0,2,0.7378647873726218
45,2.6,3.0,3,0.8432740427115678
46,3.3,3.0,3,0.48304589153964794
47,2.8,2.5,2,1.1352924243950933
48,1.1,1.0,1,0.31622776601683794
49,2.5,2.5,2,0.8498365855987975
50,2.2,2.5,3,0.9189365834726815
51,1.8,2.0,2,0.4216370213557839
52,1.7,2.0,2,0.48304589153964794
53,2.2,2.0,2,0.6324555320336759
54,2.4,2.5,3,0.699205898780101
55,2.1,2.5,3,0.9944289260117534
56,1.9,1.0,1,1.286683937707919
57,1.7,2.0,2,0.6749485577105528
58,3.1,3.0,3,0.316227766016838
59,3.0,3.0,3,0.0
60,1.0,1.0,1,0.0
61,1.8,2.0,2,0.4216370213557839
