statement_id,mean,median,mode,std
0,3.3,3.0,3,0.4830458915396479
1,1.1,1.0,1,0.31622776601683794
2,3.0,3.0,3,0.0
3,1.0,1.0,1,0.0
4,1.9,2.0,2,0.31622776601683794
5,1.0,1.0,1,0.0
6,3.0,3.0,3,0.0
7,3.1,3.0,3,0.31622776601683805
8,2.8,3.0,3,0.632455532033676
9,3.3,3.0,3,0.48304589153964794
10,3.0,3.0,3,0.0
11,1.8,2.0,2,0.42163702135578396
12,2.8,3.0,4,1.3165611772087666
13,2.6,3.0,3,0.8432740427115677
14,3.2,3.0,3,0.9189365834726815
15,1.9,2.0,2,0.31622776601683794
16,1.0,1.0,1,0.0
17,2.4,2.0,2,0.6992058987801011
18,1.0,1.0,1,0.0
19,3.1,3.0,3,0.31622776601683805
20,3.0,3.0,3,0.0
21,1.0,1.0,1,0.0
22,3.0,3.0,3,0.0
23,1.1,1.0,1,0.31622776601683794
24,2.4,2.5,3,0.9660917830792959
25,2.6,3.0,3,0.6992058987801009
26,1.0,1.0,1,0.0
27,1.0,1.0,1,0.0
28,2.2,2.0,2,0.4216370213557839
29,3.0,3.0,3,0.0
30,1.7,2.0,2,0.4830458915396479
31,1.1,1.0,1,0.31622776601683794
32,2.2,2.0,2,0.6324555320336759
33,3.0,3.0,3,0.0
34,1.7,2.0,2,0.48304589153964794
35,1.5,1.5,1,0.5270462766947299
36,1.1,1.0,1,0.31622776601683794
37,2.0,2.0,2,0.0
38,1.4,1.0,1,0.8432740427115678
39,2.0,2.0,1,1.0540925533894598
40,1.0,1.0,1,0.0
41,1.0,1.0,1,0.0
42,1.0,1.0,1,0.0
43,1.1,1.0,1,0.31622776601683794
44,1.1,1.0,1,0.31622776601683794
45,1.0,1.0,1,0.0
46,2.9,2.5,2,0.9944289260117533
47,1.1,1.0,1,0.31622776601683794
48,1.0,1.0,1,0.0
49,1.6,1.0,1,0.9660917830792959
50,3.1,3.0,3,0.316227766016838
51,1.3,1.0,1,0.4830458915396479
52,1.3,1.0,1,0.48304589153964794
53,1.8,2.0,2,0.4216370213557839
54,1.8,2.0,2,0.4216370213557839
55,1.7,2.0,2,0.48304589153964794
56,1.3,1.0,1,0.48304589153964794
57,3.9,4.0,4,0.31622776601683794
58,3.0,3.0,3,0.0
59,3.5,3.5,3,0.5270462766947297
60,1.0,1.0,1,0.0
61,2.2,2.5,3,0.9189365834726815
