statement_id,mean,median,mode,std
0,3.2,3.0,3,0.42163702135578385
1,1.1,1.0,1,0.31622776601683794
2,2.6,3.0,3,0.5163977794943222
3,1.0,1.0,1,0.0
4,1.9,2.0,2,0.31622776601683794
5,1.4,1.0,1,0.5163977794943222
6,2.5,2.5,2,0.5270462766947299
7,1.6,2.0,2,0.5163977794943222
8,2.9,3.0,3,0.31622776601683794
9,3.1,3.0,3,0.31622776601683794
10,2.9,3.0,3,0.31622776601683805
11,2.9,3.0,3,0.31622776601683805
12,2.4,2.5,3,0.699205898780101
13,3.0,3.0,3,0.0
14,3.0,3.0,3,0.0
15,1.8,2.0,1,0.7888106377466155
16,1.8,2.0,2,0.4216370213557839
17,2.0,2.0,2,0.6666666666666666
18,1.6,2.0,2,0.5163977794943222
19,3.0,3.0,3,0.0
20,3.0,3.0,3,0.0
21,2.2,2.0,2,0.6324555320336758
22,1.6,2.0,2,0.5163977794943222
23,1.4,1.0,1,0.5163977794943222
24,3.0,3.0,3,0.0
25,2.3,2.0,2,0.6749485577105528
26,1.2,1.0,1,0.4216370213557839
27,1.0,1.0,1,0.0
28,2.1,2.0,2,0.316227766016838
29,1.4,1.0,1,0.5163977794943222
30,1.8,2.0,2,0.4216370213557839
31,1.3,1.0,1,0.483045891539648
32,3.0,3.0,3,0.0
33,3.0,3.0,3,0.0
34,2.9,3.0,3,0.316227766016838
35,1.9,2.0,2,0.31622776601683794
36,1.6,2.0,2,0.5163977794943222
37,2.8,3.0,3,0.6324555320336758
38,2.3,3.0,3,0.9486832980505139
39,1.9,2.0,2,0.31622776601683794
40,1.0,1.0,1,0.0
41,1.5,1.5,1,0.5270462766947299
42,1.0,1.0,1,0.0
43,2.5,3.0,3,0.8498365855987975
44,2.1,2.0,2,0.31622776601683794
45,1.9,2.0,2,0.7378647873726218
46,2.9,3.0,3,0.7378647873726218
47,1.7,2.0,2,0.48304589153964794
48,1.1,1.0,1,0.31622776601683794
49,1.9,2.0,2,0.31622776601683794
50,3.0,3.0,3,0.47140452079103173
51,1.8,2.0,2,0.4216370213557839
52,1.9,2.0,2,0.31622776601683794
53,1.9,2.0,2,0.31622776601683794
54,2.5,3.0,3,0.7071067811865476
55,2.8,3.0,3,0.6324555320336759
56,2.0,2.0,2,0.6666666666666666
57,3.0,3.0,3,0.0
58,3.0,3.0,3,0.0
59,3.0,3.0,3,0.0
60,1.0,1.0,1,0.0
61,2.2,2.0,2,0.632455532033676
