statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,4.0,4.0,4,0.0
2,1.9,2.0,2,0.31622776601683794
3,1.0,1.0,1,0.0
4,1.8,2.0,2,0.4216370213557839
5,1.6,2.0,2,0.5163977794943222
6,1.8,2.0,2,0.4216370213557839
7,2.0,2.0,2,0.0
8,1.7,2.0,2,0.4830458915396479
9,1.8,2.0,2,0.4216370213557839
10,3.6,4.0,4,0.5163977794943223
11,4.0,4.0,4,0.0
12,1.0,1.0,1,0.0
13,1.0,1.0,1,0.0
14,1.7,2.0,2,0.4830458915396479
15,1.9,2.0,2,0.31622776601683794
16,1.9,2.0,2,0.31622776601683794
17,1.9,2.0,2,0.31622776601683794
18,1.7,2.0,2,0.4830458915396479
19,1.9,2.0,2,0.31622776601683794
20,1.9,2.0,2,0.31622776601683794
21,1.3,1.0,1,0.4830458915396479
22,4.0,4.0,4,0.0
23,1.7,2.0,2,0.48304589153964794
24,2.6,3.0,4,1.505545305418162
25,1.8,2.0,2,0.4216370213557839
26,1.8,2.0,2,0.4216370213557839
27,1.7,2.0,2,0.48304589153964794
28,2.6,2.0,2,0.9660917830792959
29,3.3,4.0,4,0.9486832980505138
30,2.0,2.0,2,0.0
31,1.6,2.0,2,0.5163977794943222
32,2.7,3.0,3,0.674948557710553
33,2.1,2.0,1,1.1972189997378648
34,1.8,2.0,2,0.4216370213557839
35,1.8,2.0,2,0.4216370213557839
36,1.9,2.0,2,0.31622776601683794
37,2.0,2.0,2,0.6666666666666666
38,1.9,2.0,2,0.31622776601683794
39,1.9,2.0,2,0.31622776601683794
40,1.2,1.0,1,0.4216370213557839
41,1.9,2.0,2,0.31622776601683794
42,3.9,4.0,4,0.31622776601683794
43,2.9,3.5,4,1.286683937707919
44,1.3,1.0,1,0.4830458915396479
45,1.6,2.0,2,0.5163977794943222
46,1.8,2.0,2,0.4216370213557839
47,1.9,2.0,2,0.31622776601683794
48,2.0,2.0,2,0.0
49,1.3,1.0,1,0.483045891539648
50,2.0,2.0,2,0.0
51,1.8,2.0,2,0.4216370213557839
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,1.6,2.0,2,0.5163977794943222
55,1.9,2.0,2,0.31622776601683794
56,1.8,2.0,2,0.4216370213557839
57,2.0,2.0,2,0.4714045207910317
58,3.7,4.0,4,0.48304589153964794
59,1.6,1.0,1,0.9660917830792958
60,1.5,1.5,1,0.5270462766947299
61,1.9,2.0,2,0.31622776601683794
