statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,4.0,4.0,4,0.0
2,2.1,2.0,2,0.31622776601683794
3,1.1,1.0,1,0.31622776601683794
4,1.6,2.0,2,0.5163977794943223
5,1.7,2.0,2,0.48304589153964794
6,2.3,2.0,2,0.674948557710553
7,2.0,2.0,2,0.0
8,2.2,2.0,2,0.6324555320336759
9,2.3,2.0,2,0.674948557710553
10,3.4,3.0,3,0.5163977794943221
11,3.5,3.5,3,0.5270462766947299
12,1.0,1.0,1,0.0
13,1.6,1.0,1,1.2649110640673518
14,1.9,2.0,2,0.31622776601683794
15,2.0,2.0,2,0.0
16,2.0,2.0,2,0.0
17,1.7,2.0,2,0.48304589153964794
18,1.7,2.0,2,0.48304589153964794
19,2.0,2.0,2,0.0
20,2.6,2.0,2,0.9660917830792959
21,1.8,2.0,2,0.4216370213557839
22,3.2,4.0,4,1.0327955589886444
23,1.6,2.0,2,0.5163977794943222
24,2.1,1.5,1,1.3703203194062978
25,2.0,2.0,2,0.0
26,1.3,2.0,2,1.2516655570345725
27,1.8,2.0,2,0.4216370213557839
28,2.3,2.0,2,0.6749485577105531
29,2.6,2.0,2,0.8432740427115678
30,3.1,3.0,3,0.7378647873726221
31,1.8,2.0,2,0.42163702135578385
32,3.1,3.0,3,0.5676462121975466
33,3.3,3.0,3,0.4830458915396479
34,2.0,2.0,2,0.0
35,2.1,2.0,2,0.31622776601683805
36,1.9,2.0,2,0.31622776601683794
37,3.1,3.0,3,0.5676462121975467
38,2.0,2.0,2,0.0
39,1.9,2.0,2,0.31622776601683794
40,1.3,1.0,1,0.4830458915396479
41,1.8,2.0,2,0.4216370213557839
42,3.9,4.0,4,0.31622776601683794
43,3.6,4.0,4,0.5163977794943222
44,1.5,1.5,1,0.5270462766947299
45,1.9,2.0,2,0.31622776601683794
46,1.9,2.0,2,0.31622776601683794
47,2.0,2.0,2,0.0
48,2.0,2.0,2,0.0
49,2.0,2.0,2,0.0
50,3.5,3.5,3,0.5270462766947299
51,1.5,1.5,1,0.5270462766947299
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,1.7,2.0,2,0.4830458915396479
55,2.2,2.0,2,0.7888106377466155
56,1.8,2.0,2,0.4216370213557839
57,3.5,3.5,3,0.5270462766947299
58,3.3,3.0,3,0.4830458915396479
59,1.7,2.0,2,0.4830458915396479
60,1.7,2.0,2,0.48304589153964794
61,2.0,2.0,2,0.0
