statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,1.0,1.0,1,0.0
2,2.2,3.0,3,1.0327955589886444
3,1.0,1.0,1,0.0
4,2.4,3.0,3,0.9660917830792959
5,1.0,1.0,1,0.0
6,1.8,1.0,1,1.3165611772087666
7,3.1,3.0,3,0.31622776601683794
8,2.7,3.0,3,1.0593499054713804
9,4.0,4.0,4,0.0
10,3.6,4.0,4,0.5163977794943223
11,1.5,1.5,1,0.5270462766947299
12,2.1,2.0,1,1.1972189997378648
13,3.7,4.0,4,0.9486832980505138
14,4.0,4.0,4,0.0
15,3.4,4.0,4,0.9660917830792959
16,1.5,1.5,1,0.5270462766947299
17,3.5,4.0,4,0.8498365855987975
18,1.6,2.0,2,0.5163977794943222
19,3.1,3.0,3,0.31622776601683805
20,3.8,4.0,4,0.4216370213557839
21,3.7,4.0,4,0.9486832980505138
22,3.6,4.0,4,0.5163977794943222
23,3.0,3.0,3,0.0
24,2.6,3.0,4,1.505545305418162
25,2.9,3.0,3,0.8755950357709131
26,1.0,1.0,1,0.0
27,1.0,1.0,1,0.0
28,2.3,2.0,2,0.8232726023485646
29,3.0,3.0,3,1.1547005383792515
30,1.6,2.0,2,0.5163977794943222
31,1.3,1.0,1,0.48304589153964794
32,2.1,2.0,2,0.9944289260117534
33,3.2,3.0,3,0.4216370213557839
34,1.9,1.5,1,1.1005049346146119
35,1.6,2.0,2,0.5163977794943222
36,2.3,1.5,1,1.4944341180973264
37,1.2,1.0,1,0.4216370213557839
38,1.9,2.0,1,0.8755950357709131
39,3.1,4.0,4,1.4491376746189437
40,1.0,1.0,1,0.0
41,1.5,1.5,1,0.5270462766947299
42,1.0,1.0,1,0.0
43,1.3,1.0,1,0.48304589153964794
44,1.9,2.0,2,0.31622776601683794
45,1.0,1.0,1,0.0
46,2.6,3.0,4,1.5055453054181622
47,1.0,1.0,1,0.0
48,1.0,1.0,1,0.0
49,3.1,4.0,4,1.4491376746189437
50,3.0,3.0,3,0.0
51,1.8,2.0,2,0.42163702135578396
52,1.1,1.0,1,0.31622776601683794
53,2.1,2.0,2,0.8755950357709131
54,3.3,3.0,3,0.4830458915396479
55,3.0,3.0,3,0.0
56,2.6,2.0,2,1.07496769977314
57,4.0,4.0,4,0.0
58,3.2,3.0,3,0.421637021355784
59,4.0,4.0,4,0.0
60,1.0,1.0,1,0.0
61,1.2,1.0,1,0.6324555320336759
