statement_id,mean,median,mode,std
0,3.7,4.0,4,0.48304589153964794
1,1.4,1.0,1,0.5163977794943222
2,2.0,2.0,2,0.6666666666666667
3,1.0,1.0,1,0.0
4,1.8,2.0,2,0.42163702135578396
5,1.3,1.0,1,0.48304589153964794
6,3.2,3.0,3,0.42163702135578385
7,2.1,2.0,1,1.1005049346146119
8,2.6,3.0,1,1.2649110640673518
9,3.3,3.0,3,0.4830458915396479
10,3.1,3.0,3,0.31622776601683794
11,1.6,1.5,1,0.6992058987801011
12,2.6,2.5,2,0.6992058987801009
13,1.8,1.0,1,1.0327955589886444
14,1.3,1.0,1,0.6749485577105528
15,2.6,3.0,3,0.6992058987801011
16,1.4,1.0,1,0.5163977794943222
17,2.0,2.0,2,0.47140452079103184
18,1.7,2.0,2,0.4830458915396479
19,3.1,3.0,3,0.31622776601683794
20,3.2,3.0,3,0.4216370213557839
21,1.5,1.5,1,0.5270462766947299
22,3.4,3.0,3,0.5163977794943221
23,1.8,2.0,2,0.4216370213557839
24,2.2,3.0,3,1.0327955589886444
25,2.3,2.0,1,1.4181364924121764
26,1.2,1.0,1,0.4216370213557839
27,1.0,1.0,1,0.0
28,2.4,3.0,3,0.9660917830792958
29,1.2,1.0,1,0.4216370213557839
30,1.4,1.0,1,0.5163977794943222
31,1.4,1.0,1,0.5163977794943222
32,2.8,2.5,2,1.1352924243950933
33,1.2,1.0,1,0.4216370213557839
34,1.9,2.0,2,0.5676462121975466
35,1.7,2.0,2,0.4830458915396479
36,1.0,1.0,1,0.0
37,3.1,3.0,3,0.31622776601683794
38,1.2,1.0,1,0.6324555320336759
39,3.0,3.0,3,0.0
40,1.2,1.0,1,0.4216370213557839
41,1.7,2.0,2,0.48304589153964794
42,1.0,1.0,1,0.0
43,1.3,1.0,1,0.48304589153964794
44,1.9,1.5,1,1.1972189997378648
45,1.6,1.0,1,0.9660917830792959
46,1.1,1.0,1,0.31622776601683794
47,2.3,2.0,2,1.2516655570345725
48,1.0,1.0,1,0.0
49,1.6,1.5,1,0.6992058987801011
50,3.1,3.0,3,0.316227766016838
51,1.6,2.0,2,0.5163977794943222
52,1.1,1.0,1,0.31622776601683794
53,2.6,3.0,3,0.6992058987801011
54,3.0,3.0,3,0.4714045207910317
55,1.4,1.0,1,0.5163977794943222
56,1.9,1.0,1,1.286683937707919
57,2.2,2.0,2,0.6324555320336759
58,3.0,3.0,3,0.0
59,3.2,3.0,3,0.42163702135578396
60,1.2,1.0,1,0.4216370213557839
61,2.4,2.0,2,0.8432740427115678
