statement_id,mean,median,mode,std
0,3.4,3.0,3,0.5163977794943222
1,1.5,1.5,1,0.5270462766947299
2,3.1,3.0,3,0.31622776601683805
3,1.0,1.0,1,0.0
4,1.6,2.0,2,0.5163977794943222
5,1.0,1.0,1,0.0
6,3.1,3.0,3,0.31622776601683805
7,2.4,3.0,3,0.8432740427115678
8,2.6,2.0,2,0.8432740427115678
9,3.8,4.0,4,0.42163702135578385
10,3.3,3.0,3,0.4830458915396479
11,1.8,2.0,2,0.4216370213557839
12,1.6,1.0,1,1.2649110640673518
13,2.8,3.0,3,0.6324555320336759
14,1.0,1.0,1,0.0
15,2.4,3.0,3,0.8432740427115678
16,1.0,1.0,1,0.0
17,3.8,4.0,4,0.42163702135578385
18,1.7,2.0,2,0.48304589153964794
19,3.1,3.0,3,0.31622776601683794
20,3.2,3.0,3,0.42163702135578385
21,1.0,1.0,1,0.0
22,3.1,3.0,3,0.31622776601683805
23,2.5,3.0,3,0.7071067811865474
24,2.2,2.0,1,1.3165611772087666
25,2.5,2.5,2,0.5270462766947298
26,1.2,1.0,1,0.4216370213557839
27,1.0,1.0,1,0.0
28,1.5,1.0,1,0.7071067811865475
29,4.0,4.0,4,0.0
30,1.7,1.5,1,0.8232726023485646
31,1.2,1.0,1,0.4216370213557839
32,2.6,2.5,2,0.699205898780101
33,3.0,3.0,3,0.0
34,3.1,3.0,3,0.316227766016838
35,1.9,2.0,2,0.31622776601683794
36,1.5,1.5,1,0.5270462766947299
37,3.2,3.0,3,0.42163702135578385
38,3.1,3.0,3,0.31622776601683805
39,3.7,4.0,4,0.9486832980505138
40,1.3,1.0,1,0.48304589153964794
41,1.2,1.0,1,0.4216370213557839
42,1.6,2.0,2,0.5163977794943222
43,1.8,2.0,1,0.7888106377466155
44,1.6,2.0,2,0.5163977794943222
45,3.8,4.0,4,0.42163702135578396
46,2.3,2.0,1,1.3374935098492586
47,3.7,4.0,4,0.9486832980505138
48,1.0,1.0,1,0.0
49,2.0,1.0,1,1.3333333333333333
50,3.4,3.0,3,0.5163977794943222
51,1.9,2.0,2,0.31622776601683794
52,1.2,1.0,1,0.4216370213557839
53,1.5,1.0,1,0.8498365855987974
54,2.7,3.0,3,0.48304589153964794
55,1.9,2.0,2,0.31622776601683794
56,2.7,2.5,2,1.0593499054713804
57,4.0,4.0,4,0.0
58,3.2,3.0,3,0.4216370213557839
59,4.0,4.0,4,0.0
60,1.0,1.0,1,0.0
61,2.1,2.0,2,0.737864787372622
