statement_id,mean,median,mode,std
0,3.0,3.0,3,0.0
1,1.2,1.0,1,0.4216370213557839
2,3.1,3.0,3,0.316227766016838
3,1.0,1.0,1,0.0
4,2.2,2.0,2,0.4216370213557839
5,1.7,2.0,2,0.6749485577105528
6,3.2,3.0,3,0.42163702135578385
7,2.0,2.0,1,0.9428090415820634
8,3.2,3.0,3,0.42163702135578385
9,3.0,3.0,3,0.0
10,3.9,4.0,4,0.316227766016838
11,3.1,3.0,3,0.31622776601683805
12,1.7,1.5,1,0.9486832980505138
13,1.6,1.0,1,0.9660917830792959
14,2.2,3.0,3,1.0327955589886444
15,1.0,1.0,1,0.0
16,1.6,2.0,2,0.5163977794943222
17,2.2,2.0,2,0.7888106377466155
18,1.7,2.0,2,0.48304589153964794
19,3.0,3.0,3,0.0
20,3.1,3.0,3,0.31622776601683805
21,1.7,2.0,2,0.6749485577105528
22,2.0,2.0,2,0.0
23,3.0,3.0,3,0.0
24,3.7,4.0,4,0.4830458915396479
25,2.2,1.0,1,1.5491933384829668
26,1.2,1.0,1,0.4216370213557839
27,1.0,1.0,1,0.0
28,1.6,2.0,2,0.5163977794943222
29,4.0,4.0,4,0.0
30,3.0,3.0,2,1.0540925533894598
31,1.8,2.0,2,0.4216370213557839
32,1.8,2.0,2,0.42163702135578396
33,3.1,3.0,3,0.31622776601683805
34,2.4,3.0,1,1.2649110640673518
35,1.4,1.0,1,0.5163977794943222
36,3.4,4.0,4,1.0749676997731399
37,3.2,3.0,3,0.4216370213557839
38,1.2,1.0,1,0.4216370213557839
39,3.6,4.0,4,0.5163977794943222
40,1.5,1.5,1,0.5270462766947299
41,1.7,2.0,2,0.6749485577105528
42,1.3,1.0,1,0.48304589153964794
43,2.4,3.0,3,0.9660917830792959
44,2.0,1.5,1,1.1547005383792515
45,3.2,3.0,3,0.7888106377466154
46,2.0,1.0,1,1.414213562373095
47,1.4,1.0,1,0.5163977794943222
48,1.0,1.0,1,0.0
49,1.7,2.0,2,0.48304589153964794
50,3.0,3.0,3,0.0
51,1.7,2.0,2,0.48304589153964794
52,2.0,2.0,2,0.0
53,3.0,3.0,3,0.0
54,2.5,3.0,3,0.7071067811865476
55,3.3,3.5,4,0.9486832980505138
56,1.9,2.0,2,0.31622776601683794
57,3.3,3.0,3,0.4830458915396478
58,3.0,3.0,3,0.0
59,3.6,4.0,4,0.5163977794943222
60,1.9,1.0,1,1.4491376746189437
61,3.6,4.0,4,0.5163977794943223
