statement_id,mean,median,mode,std
0,4.0,4.0,4,0.0
1,2.0,2.0,2,0.0
2,2.0,2.0,2,0.0
3,1.0,1.0,1,0.0
4,2.0,2.0,2,0.0
5,1.0,1.0,1,0.0
6,1.0,1.0,1,0.0
7,2.0,2.0,2,0.0
8,2.0,2.0,2,0.0
9,4.0,4.0,4,0.0
10,4.0,4.0,4,0.0
11,3.8,4.0,4,0.42163702135578385
12,4.0,4.0,4,0.0
13,4.0,4.0,4,0.0
14,1.0,1.0,1,0.0
15,2.0,2.0,2,0.0
16,1.7,2.0,2,0.48304589153964794
17,2.0,2.0,2,0.0
18,2.0,2.0,2,0.0
19,4.0,4.0,4,0.0
20,1.0,1.0,1,0.0
21,1.0,1.0,1,0.0
22,2.0,2.0,2,0.0
23,2.0,2.0,2,0.0
24,2.0,2.0,2,0.0
25,2.0,2.0,2,0.0
26,2.0,2.0,2,0.0
27,1.0,1.0,1,0.0
28,3.2,3.0,3,0.42163702135578396
29,4.0,4.0,4,0.0
30,2.0,2.0,2,0.0
31,2.0,2.0,2,0.0
32,2.0,2.0,2,0.0
33,4.0,4.0,4,0.0
34,1.4,1.0,1,0.5163977794943222
35,1.0,1.0,1,0.0
36,2.0,2.0,2,0.0
37,2.0,2.0,2,0.0
38,2.0,2.0,2,0.0
39,3.4,4.0,4,1.2649110640673518
40,2.0,2.0,2,0.0
41,2.0,2.0,2,0.0
42,2.0,2.0,2,0.0
43,1.7,2.0,2,0.48304589153964794
44,2.0,2.0,2,0.0
45,2.0,2.0,2,0.0
46,2.0,2.0,2,0.0
47,2.0,2.0,2,0.0
48,2.0,2.0,2,0.0
49,2.0,2.0,2,0.0
50,2.0,2.0,2,0.0
51,2.0,2.0,2,0.0
52,2.0,2.0,2,0.0
53,2.0,2.0,2,0.0
54,2.0,2.0,2,0.0
55,4.0,4.0,4,0.0
56,2.0,2.0,2,0.0
57,4.0,4.0,4,0.0
58,4.0,4.0,4,0.0
59,4.0,4.0,4,0.0
60,1.3,1.0,1,0.4830458915396479
61,2.0,2.0,2,0.0
