statement_id,mean,median,mode,std
0,3.4,4.0,4,1.2649110640673518
1,3.3,4.0,4,1.0593499054713802
2,1.9,2.0,2,0.31622776601683794
3,1.6,2.0,2,0.5163977794943222
4,3.2,3.0,3,0.42163702135578385
5,1.8,2.0,2,0.42163702135578385
6,1.8,2.0,2,0.4216370213557839
7,1.9,2.0,2,0.31622776601683794
8,1.5,1.5,1,0.5270462766947298
9,2.5,2.5,1,1.5811388300841898
10,4.0,4.0,4,0.0
11,1.4,1.0,1,0.5163977794943222
12,1.0,1.0,1,0.0
13,1.0,1.0,1,0.0
14,0.7,1.0,1,0.9486832980505138
15,1.8,2.0,2,0.4216370213557839
16,1.9,2.0,2,0.31622776601683794
17,2.0,2.0,2,0.0
18,1.9,2.0,2,0.31622776601683794
19,1.1,1.0,1,0.31622776601683794
20,2.8,4.0,4,1.5491933384829668
21,1.6,2.0,2,0.5163977794943222
22,3.4,4.0,4,1.2649110640673518
23,1.8,2.0,2,0.4216370213557839
24,2.0,2.0,2,0.0
25,1.8,2.0,2,0.42163702135578396
26,2.0,2.0,2,0.0
27,1.7,2.0,2,0.48304589153964794
28,3.5,4.0,4,0.8498365855987974
29,4.0,4.0,4,0.0
30,1.9,2.0,2,0.31622776601683794
31,1.6,2.0,2,0.5163977794943222
32,2.0,2.0,2,0.0
33,1.3,1.0,1,0.9486832980505138
34,1.8,2.0,2,0.4216370213557839
35,2.0,2.0,2,0.4714045207910317
36,2.0,2.0,2,0.0
37,1.8,2.0,2,0.4216370213557839
38,1.6,2.0,2,0.5163977794943222
39,1.0,1.0,1,0.0
40,1.8,2.0,2,0.42163702135578396
41,1.5,1.5,1,0.5270462766947299
42,1.7,2.0,2,0.48304589153964794
43,1.8,2.0,2,0.42163702135578385
44,1.7,2.0,2,0.48304589153964794
45,1.8,2.0,2,0.4216370213557839
46,1.7,2.0,2,0.4830458915396479
47,2.0,2.0,2,0.0
48,2.0,2.0,2,0.0
49,1.0,1.0,1,0.0
50,3.1,3.0,3,0.31622776601683794
51,1.9,2.0,2,0.31622776601683794
52,2.0,2.0,2,0.0
53,1.5,1.5,1,0.5270462766947299
54,1.9,2.0,2,0.31622776601683794
55,1.7,2.0,2,0.4830458915396479
56,1.9,2.0,2,0.31622776601683794
57,4.0,4.0,4,0.0
58,2.3,2.0,1,1.3374935098492586
59,2.8,4.0,4,1.5491933384829668
60,1.9,2.0,2,0.31622776601683794
61,1.7,2.0,2,0.48304589153964794
