statement_id,mean,median,mode,std
0,3.6,4.0,4,0.5163977794943222
1,1.6,1.0,1,1.2649110640673518
2,1.8,2.0,2,0.42163702135578385
3,2.8,4.0,4,1.5491933384829668
4,3.1,3.0,3,0.31622776601683794
5,1.1,1.0,1,0.31622776601683794
6,3.2,3.0,3,0.42163702135578385
7,3.3,3.0,3,0.48304589153964794
8,3.6,4.0,4,0.5163977794943222
9,3.1,3.0,3,0.31622776601683794
10,3.2,3.0,3,0.42163702135578385
11,1.6,1.0,1,0.8432740427115678
12,2.7,3.0,3,0.9486832980505138
13,3.7,4.0,4,0.4830458915396479
14,2.7,3.0,3,1.2516655570345725
15,2.3,3.0,3,1.1595018087284057
16,1.0,1.0,1,0.0
17,3.2,3.0,3,0.9189365834726815
18,1.0,1.0,1,0.0
19,3.4,3.0,3,0.5163977794943222
20,3.3,3.0,3,0.4830458915396479
21,1.1,1.0,1,0.31622776601683794
22,3.6,4.0,4,0.5163977794943222
23,3.0,3.0,3,0.0
24,1.6,1.5,1,0.6992058987801011
25,3.2,3.0,3,0.4216370213557839
26,2.7,3.5,4,1.4944341180973264
27,1.0,1.0,1,0.0
28,2.2,3.0,3,1.0327955589886444
29,3.1,3.0,3,0.31622776601683805
30,1.8,2.0,1,0.7888106377466155
31,1.0,1.0,1,0.0
32,3.4,3.0,3,0.5163977794943222
33,3.3,3.0,3,0.483045891539648
34,2.5,3.0,1,1.35400640077266
35,1.7,1.5,1,0.9486832980505138
36,1.4,1.0,1,0.5163977794943222
37,1.2,1.0,1,0.4216370213557839
38,1.1,1.0,1,0.31622776601683794
39,3.1,3.0,3,0.316227766016838
40,2.7,2.5,2,0.8232726023485646
41,1.3,1.0,1,0.4830458915396479
42,1.2,1.0,1,0.4216370213557839
43,1.4,1.0,1,0.5163977794943222
44,1.4,1.0,1,0.5163977794943222
45,1.8,2.0,2,0.4216370213557839
46,1.8,1.5,1,1.0327955589886444
47,1.1,1.0,1,0.31622776601683794
48,1.1,1.0,1,0.31622776601683794
49,1.2,1.0,1,0.4216370213557839
50,3.3,3.0,3,0.4830458915396479
51,1.8,2.0,2,0.4216370213557839
52,1.2,1.0,1,0.4216370213557839
53,3.1,3.0,3,0.5676462121975469
54,1.5,1.5,1,0.5270462766947299
55,1.7,2.0,2,0.48304589153964794
56,3.2,3.0,3,0.42163702135578385
57,3.9,4.0,4,0.31622776601683794
58,3.1,3.0,3,0.31622776601683794
59,2.9,3.0,3,0.31622776601683794
60,2.8,4.0,4,1.5491933384829668
61,2.4,2.0,2,0.699205898780101
