statement_id,mean,median,mode,std
0,3.3,3.0,3,0.4830458915396479
1,1.8,2.0,2,0.4216370213557839
2,1.8,2.0,2,0.4216370213557839
3,1.1,1.0,1,0.31622776601683794
4,2.0,2.0,2,0.0
5,1.3,1.0,1,0.48304589153964794
6,3.6,4.0,4,0.5163977794943223
7,2.8,3.0,3,0.6324555320336759
8,3.1,3.0,3,0.31622776601683794
9,3.1,3.0,3,0.31622776601683794
10,2.1,2.0,2,0.5676462121975466
11,2.2,2.0,2,0.7888106377466155
12,2.0,2.0,1,1.0540925533894598
13,2.4,3.0,3,0.966091783079296
14,2.4,2.5,3,0.966091783079296
15,3.0,3.0,3,0.0
16,1.1,1.0,1,0.31622776601683794
17,2.0,2.0,2,0.0
18,1.9,2.0,2,0.5676462121975466
19,3.1,3.0,3,0.31622776601683794
20,3.1,3.0,3,0.31622776601683805
21,1.1,1.0,1,0.31622776601683794
22,3.1,3.0,3,0.31622776601683794
23,2.3,2.0,2,0.8232726023485646
24,2.0,2.0,2,0.816496580927726
25,2.7,3.0,3,0.4830458915396479
26,1.6,2.0,2,0.5163977794943222
27,1.0,1.0,1,0.0
28,2.4,3.0,3,0.8432740427115677
29,3.0,3.0,3,0.0
30,2.0,2.0,2,0.9428090415820634
31,1.4,1.0,1,0.5163977794943222
32,3.2,3.0,3,0.42163702135578396
33,3.1,3.0,3,0.31622776601683805
34,2.0,2.0,2,0.9428090415820634
35,3.0,3.0,3,0.0
36,1.5,1.5,1,0.5270462766947299
37,3.0,3.0,3,0.0
38,1.7,2.0,2,0.6749485577105528
39,2.9,3.0,3,0.5676462121975466
40,1.3,1.0,1,0.48304589153964794
41,1.8,2.0,2,0.4216370213557839
42,1.0,1.0,1,0.0
43,3.1,3.0,3,0.7378647873726218
44,2.4,2.0,2,0.8432740427115679
45,1.7,2.0,2,0.48304589153964794
46,3.0,3.0,3,0.4714045207910317
47,1.5,1.0,1,0.97182531580755
48,1.0,1.0,1,0.0
49,1.8,2.0,2,0.4216370213557839
50,3.0,3.0,3,0.0
51,1.5,1.5,1,0.5270462766947299
52,1.1,1.0,1,0.31622776601683794
53,3.4,3.0,3,0.5163977794943222
54,1.6,2.0,2,0.5163977794943222
55,3.5,4.0,4,0.97182531580755
56,3.0,3.0,3,0.816496580927726
57,3.0,3.0,3,0.0
58,3.0,3.0,3,0.4714045207910319
59,3.1,3.0,3,0.31622776601683805
60,1.5,1.0,1,0.97182531580755
61,2.2,2.0,2,1.0327955589886444
