statement_id,mean,median,mode,std
0,3.3,3.0,3,0.4830458915396479
1,1.7,2.0,2,0.48304589153964794
2,1.8,2.0,2,0.4216370213557839
3,1.5,1.5,1,0.5270462766947299
4,3.0,3.0,3,0.0
5,3.0,3.0,3,0.4714045207910318
6,3.0,3.0,3,0.0
7,3.1,3.0,3,0.31622776601683794
8,3.0,3.0,3,0.0
9,3.3,3.0,3,0.48304589153964794
10,3.0,3.0,3,0.0
11,1.8,2.0,2,0.42163702135578396
12,1.8,2.0,2,0.6324555320336759
13,2.0,2.0,1,1.0540925533894598
14,1.6,1.5,1,0.6992058987801011
15,2.9,3.0,3,0.31622776601683794
16,1.0,1.0,1,0.0
17,2.1,2.0,2,0.31622776601683794
18,1.5,1.5,1,0.5270462766947299
19,3.1,3.0,3,0.5676462121975466
20,3.3,3.0,3,0.48304589153964794
21,1.4,1.0,1,0.5163977794943222
22,1.9,2.0,2,0.31622776601683794
23,2.3,2.0,2,0.6749485577105528
24,1.6,2.0,2,0.5163977794943222
25,2.1,2.0,2,0.5676462121975466
26,1.5,1.5,1,0.5270462766947299
27,1.0,1.0,1,0.0
28,1.9,1.5,1,0.9944289260117533
29,3.2,3.0,3,0.42163702135578385
30,1.6,2.0,2,0.5163977794943222
31,1.0,1.0,1,0.0
32,3.1,3.0,3,0.31622776601683794
33,3.0,3.0,3,0.0
34,1.7,1.0,1,0.9486832980505137
35,1.9,2.0,2,0.31622776601683794
36,1.5,1.0,1,0.7071067811865476
37,2.9,3.0,3,0.7378647873726218
38,1.7,2.0,2,0.6749485577105528
39,1.6,2.0,2,0.5163977794943222
40,1.4,1.0,1,0.5163977794943222
41,1.4,1.0,1,0.5163977794943222
42,1.1,1.0,1,0.31622776601683794
43,1.4,1.0,1,0.5163977794943222
44,1.7,2.0,2,0.4830458915396479
45,3.0,3.5,4,1.1547005383792515
46,2.4,2.0,2,0.5163977794943222
47,2.1,2.0,1,1.1972189997378648
48,1.1,1.0,1,0.31622776601683794
49,1.8,2.0,2,0.4216370213557839
50,1.4,1.0,1,0.5163977794943222
51,2.2,2.0,2,0.6324555320336759
52,1.7,1.5,1,0.8232726023485646
53,2.8,3.0,3,0.9189365834726815
54,2.6,2.0,2,0.8432740427115678
55,1.9,2.0,2,0.567646212197547
56,2.4,2.0,2,0.6992058987801009
57,3.0,3.0,3,0.0
58,3.1,3.0,3,0.316227766016838
59,3.3,3.5,4,0.9486832980505138
60,1.6,1.0,1,0.9660917830792959
61,2.4,2.0,2,0.5163977794943222
