statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Der progressive Anstieg der Steuer wird durch Steuerstufen abgelöst. Eine Indexierung der Tarife, Freibeträge und Freigrenzen, Pauschbeträge und Pauschalen muss die schleichende (heimliche) Steuererhöhung vermeiden.
Maßgeblich von Lobbygruppen initiiert, hat die Reduzierung der Bildungsanforderungen auf einen inhaltsleeren Kompetenzbegriff zu einer empirisch nachweisbaren Niveausenkung geführt.
Entscheidungen näher zum Bürger bringen: Die Regionen und Landkreise wollen wir durch Wirtschaftsförderung, Bewahrung regionaler Kultur, Daseinsvorsorge, Verkehr und Digitalisierung stark machen. Die EU, Bund und Land sollen weniger regulierend in die kommunale Selbstverwaltung und die Gestaltungsmöglichkeiten der Regionen eingreifen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
