statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Deshalb brauchen wir mehr Demokratie in Europa.
Die Pandemie hat aber zugleich bestehende Ungleichheiten verschärft. Wer arm ist, wird schneller krank. Frauen tragen eine besondere Last in den systemrelevanten Berufen der Pflege, der Erziehung und im Einzelhandel, sind aber deutlich schlechter bezahlt und in Entscheidungsprozessen weniger repräsentiert. Freiberufler*innen und Selbständige, die ohnehin schon größere Risiken eingehen, stürzen ohne Verdienst in Existenzangst oder -not. Wer Kinder oder Jugendliche allein oder getrennt erzieht, ist durch Kinderbetreuung, Homeschooling und Homeoffice noch mal mehr gefordert. Die Pandemie hat uns auf unsere individuellen Lebensumstände zurückgeworfen. Wenn die Wohnung eng ist, der Garten fehlt, aber die Schwimmhalle geschlossen ist, ist es dreifach schwer.
Aber viel zu sehr hängt der Lebenslauf in Deutschland noch von der Familie, dem Namen oder dem Wohnort ab statt von den eigenen Fähigkeiten. Und die Pandemie verschärft die ohnehin zu große soziale Ungleichheit: Wo Kinder und Jugendliche auf wenig Förderung von zu Hause hoffen können, wo der Zugang zu Laptops oder Tablets fehlt und kein Elternteil helfen kann, drohen sie dauerhaft den Anschluss zu verlieren. Die Kinder und Jugendlichen, die am stärksten von der Krise getroffen wurden, benötigen daher die meiste Unterstützung.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
