statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Zustimmung""",3
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.
Während Europa eine schwere Finanz-und Wirtschaftskrise erlebt, hat Deutschland in den vergangenen Jahren eine Erfolgsgeschichte geschrieben: So viele Menschen in Arbeit wie noch nie zuvor in der Geschichte, die besten Beschäftigungschancen für junge Menschen in ganz Europa, ein solider Staatshaushalt, steigende Löhne und steigende Renten.
Sichere Lebensmittel haben für uns Priorität. Wir wollen die Lebensmittelsicherheit verbessern, ohne den bürokratischen Aufwand zu steigern. Das Qualitäts- und Sicherheitsbewusstsein über die gesamte Lebensmittelkette bis hin zum Verbraucher muss noch stärker entwickelt werden. Wir setzen auf den Ausbau privatwirtschaftlich organisierter Qualitätssicherungssysteme und ihre Verzahnung mit der staatlichen Lebensmittelkontrolle. Wir werden die Zusammenarbeit von Bund, Ländern und Kommunen weiter intensivieren und ein Frühwarnsystem einrichten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
