statement_id,mean,median,mode,std
0,1.5,2.0,2,0.7071067811865476
1,1.0,1.0,0,1.0540925533894598
2,0.0,0.0,0,0.0
3,1.9,2.0,2,0.31622776601683794
4,0.2,0.0,0,0.6324555320336759
5,1.3,1.0,1,0.48304589153964794
6,1.2,2.0,2,1.0327955589886444
7,0.7,0.5,0,0.8232726023485646
8,1.0,1.0,1,0.0
9,1.9,2.0,2,0.31622776601683794
10,0.9,0.5,0,0.9944289260117533
11,1.7,2.0,2,0.48304589153964794
12,0.2,0.0,0,0.6324555320336759
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.8,2.0,2,0.6324555320336759
16,0.0,0.0,0,0.0
17,1.4,2.0,2,0.9660917830792959
18,1.1,1.0,1,0.7378647873726218
19,1.9,2.0,2,0.31622776601683794
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,1.5,2.0,2,0.8498365855987975
23,0.6,0.0,0,0.9660917830792959
24,1.1,1.0,1,0.31622776601683794
25,0.2,0.0,0,0.6324555320336759
26,1.9,2.0,2,0.31622776601683794
27,0.2,0.0,0,0.6324555320336759
28,1.4,1.0,1,0.5163977794943222
29,0.0,0.0,0,0.0
30,2.0,2.0,2,0.0
31,0.2,0.0,0,0.6324555320336759
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,1.0,1.0,1,0.4714045207910317
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.2,0.0,0,0.6324555320336759
