statement_id,mean,median,mode,std
0,1.9,2.0,2,0.7378647873726218
1,0.2,0.0,0,0.6324555320336759
2,2.0,2.0,2,0.0
3,1.0,1.0,1,0.0
4,0.0,0.0,0,0.0
5,2.0,2.0,2,0.0
6,0.1,0.0,0,0.31622776601683794
7,0.1,0.0,0,0.31622776601683794
8,1.6,2.0,0,1.429840705968481
9,1.1,1.0,0,1.1972189997378648
10,1.6,2.0,2,1.1737877907772671
11,1.8,2.0,3,1.3165611772087666
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.1,1.0,0,1.1972189997378646
16,1.0,1.0,0,1.0540925533894598
17,1.8,2.0,2,0.6324555320336759
18,1.0,1.0,1,0.0
19,1.8,2.0,2,0.6324555320336759
20,0.0,0.0,0,0.0
21,1.1,1.0,0,1.1972189997378648
22,0.3,0.0,0,0.9486832980505138
23,2.0,2.0,2,0.0
24,1.1,1.0,1,0.31622776601683794
25,0.0,0.0,0,0.0
26,1.8,2.0,2,0.6324555320336759
27,1.8,2.0,2,0.6324555320336759
28,1.6,2.0,0,1.2649110640673518
29,2.0,2.0,2,0.0
30,0.4,0.0,0,0.8432740427115678
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,1.0,1.0,1,0.0
35,1.2,2.0,2,1.0327955589886444
36,0.0,0.0,0,0.0
37,0.0,0.0,0,0.0
