statement_id,mean,median,mode,std
0,1.6,2.0,2,0.5163977794943222
1,1.9,2.0,2,0.31622776601683794
2,0.2,0.0,0,0.6324555320336759
3,1.0,1.0,1,0.0
4,1.4,1.0,1,0.5163977794943222
5,1.6,2.0,2,0.5163977794943222
6,1.3,1.0,1,0.6749485577105528
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,1.4,1.0,1,0.5163977794943222
10,1.6,2.0,2,0.5163977794943223
11,2.0,2.0,2,0.0
12,1.3,2.0,2,0.9486832980505138
13,0.0,0.0,0,0.0
14,1.2,2.0,2,1.0327955589886444
15,0.8,0.0,0,1.0327955589886444
16,1.4,1.0,1,0.5163977794943222
17,1.1,1.0,2,0.8755950357709131
18,2.0,2.0,2,0.0
19,2.0,2.0,2,0.0
20,0.6,0.0,0,0.9660917830792959
21,1.0,1.0,1,0.0
22,1.9,2.0,2,0.31622776601683794
23,1.7,2.0,2,0.48304589153964794
24,1.0,1.0,1,0.0
25,0.8,0.5,0,0.9189365834726815
26,1.9,2.0,2,0.31622776601683794
27,0.2,0.0,0,0.6324555320336759
28,1.7,2.0,2,0.48304589153964794
29,1.9,2.0,2,0.31622776601683794
30,0.0,0.0,0,0.0
31,1.7,2.0,2,0.6749485577105528
32,1.2,2.0,2,1.0327955589886444
33,0.4,0.0,0,0.8432740427115678
34,2.0,2.0,2,0.0
35,1.5,1.5,1,0.5270462766947299
36,2.0,2.0,2,0.0
37,0.6,0.0,0,0.9660917830792959
