statement_id,mean,median,mode,std
0,2.0,2.0,2,0.0
1,1.0,1.0,1,0.0
2,2.0,2.0,2,0.0
3,2.0,2.0,2,0.0
4,0.0,0.0,0,0.0
5,2.0,2.0,2,0.0
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,2.0,2.0,2,0.0
9,0.0,0.0,0,0.0
10,2.0,2.0,2,0.0
11,2.0,2.0,2,0.0
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,2.0,2.0,2,0.0
16,2.0,2.0,2,0.0
17,2.0,2.0,2,0.0
18,1.6,2.0,2,0.5163977794943222
19,2.0,2.0,2,0.0
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,1.0,1.0,1,0.0
23,1.8,2.0,2,0.6324555320336759
24,2.0,2.0,2,0.0
25,0.0,0.0,0,0.0
26,1.0,1.0,1,0.0
27,0.0,0.0,0,0.0
28,1.0,1.0,1,0.0
29,0.0,0.0,0,0.0
30,2.0,2.0,2,0.0
31,2.0,2.0,2,0.0
32,0.0,0.0,0,0.0
33,2.0,2.0,2,0.0
34,2.0,2.0,2,0.0
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.0,0.0,0,0.0
