statement_id,mean,median,mode,std
0,2.0,2.0,2,0.0
1,0.0,0.0,0,0.0
2,2.0,2.0,2,0.0
3,1.0,1.0,1,0.0
4,2.0,2.0,2,0.0
5,1.9,2.0,2,0.31622776601683794
6,1.9,2.0,2,0.31622776601683794
7,2.0,2.0,2,0.0
8,0.0,0.0,0,0.0
9,1.0,1.0,1,0.0
10,0.0,0.0,0,0.0
11,1.1,1.0,1,0.31622776601683794
12,1.8,2.0,2,0.4216370213557839
13,1.0,1.0,1,0.0
14,1.0,1.0,1,0.0
15,1.0,1.0,1,0.0
16,0.0,0.0,0,0.0
17,1.3,1.0,1,0.48304589153964794
18,0.0,0.0,0,0.0
19,2.0,2.0,2,0.0
20,2.0,2.0,2,0.0
21,2.0,2.0,2,0.0
22,2.0,2.0,2,0.0
23,2.0,2.0,2,0.0
24,0.0,0.0,0,0.0
25,1.0,1.0,1,0.0
26,2.0,2.0,2,0.0
27,2.0,2.0,2,0.0
28,1.0,1.0,1,0.0
29,2.0,2.0,2,0.0
30,2.0,2.0,2,0.0
31,2.0,2.0,2,0.0
32,1.0,1.0,1,0.0
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.0,1.0,1,0.0
36,1.0,1.0,1,0.0
37,0.0,0.0,0,0.0
