statement_id,mean,median,mode,std
0,1.1,1.0,1,0.31622776601683794
1,0.0,0.0,0,0.0
2,1.7,2.0,2,0.4830458915396479
3,1.1,1.0,1,0.31622776601683794
4,1.1,1.0,1,0.31622776601683794
5,0.3,0.0,0,0.674948557710553
6,1.1,1.0,1,0.31622776601683794
7,0.9,1.0,0,0.8755950357709131
8,1.0,1.0,1,0.0
9,1.0,1.0,1,0.0
10,0.2,0.0,0,0.6324555320336759
11,0.2,0.0,0,0.6324555320336759
12,1.2,1.0,1,0.4216370213557839
13,1.5,1.5,1,0.5270462766947299
14,1.2,1.0,1,0.4216370213557839
15,1.5,2.0,2,0.8498365855987975
16,0.2,0.0,0,0.6324555320336759
17,1.7,2.0,2,0.6749485577105528
18,0.9,1.0,1,0.5676462121975466
19,1.1,1.0,1,0.5676462121975466
20,0.8,0.0,0,1.0327955589886444
21,1.2,1.0,1,0.4216370213557839
22,1.5,1.5,1,0.5270462766947299
23,1.0,1.0,1,0.0
24,1.0,1.0,1,0.0
25,1.3,1.0,1,0.4830458915396479
26,1.2,1.0,1,0.4216370213557839
27,0.3,0.0,0,0.6749485577105528
28,0.7,1.0,1,0.6749485577105528
29,1.2,1.0,1,0.4216370213557839
30,0.0,0.0,0,0.0
31,1.0,1.0,1,0.0
32,1.1,1.0,1,0.31622776601683794
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.0,1.0,1,0.0
36,1.1,1.0,1,0.31622776601683794
37,0.0,0.0,0,0.0
