statement_id,mean,median,mode,std
0,0.9,1.0,1,0.31622776601683794
1,1.7,2.0,2,0.4830458915396479
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,1.0,1.0,1,0.0
5,1.2,1.0,1,0.4216370213557839
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,0.0,0.0,0,0.0
10,1.2,1.0,1,0.4216370213557839
11,1.4,1.5,2,0.6992058987801011
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.7,2.0,2,0.4830458915396479
16,1.2,1.0,1,0.4216370213557839
17,0.0,0.0,0,0.0
18,1.3,1.0,1,0.48304589153964794
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,1.3,1.0,1,0.4830458915396479
22,0.7,0.0,0,0.9486832980505138
23,0.0,0.0,0,0.0
24,1.0,1.0,1,0.0
25,0.0,0.0,0,0.0
26,1.3,1.0,1,0.48304589153964794
27,0.0,0.0,0,0.0
28,1.1,1.0,1,0.31622776601683794
29,0.0,0.0,0,0.0
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,1.2,1.0,1,0.4216370213557839
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.2,0.0,0,0.6324555320336759
