statement_id,mean,median,mode,std
0,0.0,0.0,0,0.0
1,1.0,1.0,1,0.0
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,0.0,0.0,0,0.0
5,1.1,1.0,1,0.31622776601683794
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,0.2,0.0,0,0.6324555320336759
10,1.0,1.0,1,0.0
11,1.2,1.0,1,0.4216370213557839
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,0.8,1.0,0,0.7888106377466155
16,0.0,0.0,0,0.0
17,0.4,0.0,0,0.8432740427115678
18,1.0,1.0,1,0.0
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,1.6,2.0,2,0.5163977794943222
22,1.1,1.0,1,0.31622776601683794
23,0.0,0.0,0,0.0
24,1.0,1.0,1,0.0
25,0.0,0.0,0,0.0
26,1.2,1.0,1,0.4216370213557839
27,0.0,0.0,0,0.0
28,1.1,1.0,1,0.31622776601683794
29,0.6,1.0,1,0.5163977794943222
30,0.2,0.0,0,0.6324555320336759
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,1.0,1.0,1,0.0
34,1.1,1.0,1,0.5676462121975466
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,1.3,1.0,1,0.4830458915396479
