statement_id,mean,median,mode,std
0,1.0,1.0,1,0.0
1,0.0,0.0,0,0.0
2,1.0,1.0,1,0.0
3,0.0,0.0,0,0.0
4,1.0,1.0,1,0.0
5,1.1,1.0,1,0.5676462121975466
6,1.0,1.0,1,0.0
7,1.2,1.0,1,0.4216370213557839
8,0.1,0.0,0,0.31622776601683794
9,1.1,1.0,1,0.31622776601683794
10,0.0,0.0,0,0.0
11,0.0,0.0,0,0.0
12,1.0,1.0,1,0.4714045207910317
13,1.0,1.0,1,0.0
14,1.0,1.0,1,0.4714045207910317
15,0.4,0.0,0,0.8432740427115678
16,0.0,0.0,0,0.0
17,1.1,1.0,1,0.31622776601683794
18,0.0,0.0,0,0.0
19,1.4,1.0,1,0.5163977794943222
20,0.2,0.0,0,0.6324555320336759
21,0.4,0.0,0,0.6992058987801011
22,1.0,1.0,1,0.4714045207910317
23,1.0,1.0,1,0.0
24,0.9,1.0,1,0.5676462121975466
25,1.0,1.0,1,0.0
26,0.5,0.0,0,0.8498365855987975
27,1.0,1.0,1,0.0
28,0.2,0.0,0,0.4216370213557839
29,0.0,0.0,0,0.0
30,1.2,1.0,1,0.4216370213557839
31,1.0,1.0,1,0.0
32,1.1,1.0,1,0.31622776601683794
33,0.2,0.0,0,0.6324555320336759
34,0.0,0.0,0,0.0
35,1.0,1.0,1,0.0
36,1.0,1.0,1,0.0
37,0.6,0.0,0,0.9660917830792959
