statement_id,mean,median,mode,std
0,1.3,1.0,1,0.48304589153964794
1,0.0,0.0,0,0.0
2,1.3,1.0,1,0.4830458915396479
3,1.5,1.5,1,0.5270462766947299
4,1.1,1.0,1,0.31622776601683794
5,1.0,1.0,0,0.9428090415820634
6,1.7,2.0,2,0.4830458915396479
7,1.6,2.0,2,0.5163977794943222
8,1.1,1.0,1,0.31622776601683794
9,1.7,2.0,2,0.4830458915396479
10,0.0,0.0,0,0.0
11,0.7,1.0,1,0.6749485577105528
12,1.9,2.0,2,0.31622776601683794
13,1.7,2.0,2,0.4830458915396479
14,0.4,0.0,0,0.8432740427115678
15,1.2,2.0,2,1.0327955589886444
16,0.0,0.0,0,0.0
17,1.9,2.0,2,0.31622776601683794
18,0.1,0.0,0,0.31622776601683794
19,1.5,2.0,2,0.7071067811865476
20,0.0,0.0,0,0.0
21,0.9,1.0,1,0.5676462121975467
22,0.0,0.0,0,0.0
23,1.0,1.0,1,0.0
24,1.0,1.0,1,0.0
25,1.3,1.0,1,0.4830458915396479
26,0.2,0.0,0,0.6324555320336759
27,1.1,1.0,1,0.31622776601683794
28,0.4,0.0,0,0.8432740427115679
29,0.2,0.0,0,0.6324555320336759
30,1.9,2.0,2,0.31622776601683794
31,1.2,1.0,1,0.7888106377466155
32,1.2,1.0,1,0.4216370213557839
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.3,1.0,1,0.48304589153964794
36,1.2,1.0,1,0.4216370213557839
37,1.8,2.0,2,0.6324555320336759
