statement_id,mean,median,mode,std
0,0.0,0.0,0,0.0
1,1.4,1.0,1,0.5163977794943222
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,0.0,0.0,0,0.0
5,1.0,1.0,1,0.0
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,0.0,0.0,0,0.0
10,2.0,2.0,2,0.0
11,1.0,1.0,1,0.0
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.1,1.0,1,0.31622776601683794
16,2.0,2.0,2,0.0
17,0.0,0.0,0,0.0
18,1.0,1.0,1,0.0
19,2.0,2.0,2,0.0
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,2.0,2.0,2,0.0
23,0.0,0.0,0,0.0
24,1.0,1.0,1,0.0
25,0.0,0.0,0,0.0
26,1.0,1.0,1,0.0
27,0.0,0.0,0,0.0
28,1.0,1.0,1,0.0
29,0.0,0.0,0,0.0
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.6,1.0,1,0.5163977794943222
33,1.0,1.0,1,0.0
34,2.0,2.0,2,0.0
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,2.0,2.0,2,0.0
