statement_id,mean,median,mode,std
0,1.2,1.0,1,0.42163702135578396
1,0.0,0.0,0,0.0
2,1.1,1.0,1,0.31622776601683794
3,1.0,1.0,1,0.0
4,2.0,2.0,2,0.0
5,1.0,1.0,1,0.0
6,1.0,1.0,1,0.0
7,2.0,2.0,2,0.0
8,0.0,0.0,0,0.0
9,1.0,1.0,1,0.0
10,0.0,0.0,0,0.0
11,1.0,1.0,1,0.0
12,1.0,1.0,1,0.0
13,1.0,1.0,1,0.0
14,1.0,1.0,1,0.0
15,1.0,1.0,1,0.0
16,0.0,0.0,0,0.0
17,1.0,1.0,1,0.0
18,0.0,0.0,0,0.0
19,1.0,1.0,1,0.0
20,2.0,2.0,2,0.0
21,2.0,2.0,2,0.0
22,1.0,1.0,1,0.0
23,1.0,1.0,1,0.0
24,0.0,0.0,0,0.0
25,1.0,1.0,1,0.0
26,1.9,2.0,2,0.31622776601683794
27,2.0,2.0,2,0.0
28,0.9,1.0,1,0.31622776601683794
29,2.0,2.0,2,0.0
30,1.9,2.0,2,0.31622776601683794
31,1.0,1.0,1,0.0
32,1.0,1.0,1,0.0
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.0,1.0,1,0.0
36,1.0,1.0,1,0.0
37,0.0,0.0,0,0.0
