statement_id,mean,median,mode,std
0,2.0,2.0,2,0.0
1,0.0,0.0,0,0.0
2,2.0,2.0,2,0.0
3,2.0,2.0,2,0.0
4,0.8,0.0,0,1.1352924243950933
5,2.0,2.0,2,0.0
6,2.0,2.0,2,0.0
7,0.2,0.0,0,0.6324555320336759
8,2.0,2.0,2,0.0
9,2.0,2.0,2,0.0
10,2.2,2.0,2,0.4216370213557839
11,1.3,1.5,2,0.8232726023485646
12,2.0,2.0,2,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,2.0,2.0,2,0.0
16,2.0,2.0,2,0.0
17,2.0,2.0,2,0.0
18,1.8,2.0,2,0.4216370213557839
19,2.0,2.0,2,0.0
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,0.0,0.0,0,0.0
23,2.0,2.0,2,0.0
24,1.1,1.0,1,0.31622776601683794
25,0.0,0.0,0,0.0
26,0.0,0.0,0,0.0
27,2.0,2.0,2,0.0
28,1.3,2.0,2,0.9486832980505139
29,0.1,0.0,0,0.31622776601683794
30,2.0,2.0,2,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.4,2.0,2,0.9660917830792959
36,2.0,2.0,2,0.0
37,0.0,0.0,0,0.0
