statement_id,mean,median,mode,std
0,0.3,0.0,0,0.48304589153964794
1,1.1,1.0,1,0.31622776601683794
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,0.0,0.0,0,0.0
5,1.0,1.0,1,0.0
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,0.0,0.0,0,0.0
10,1.0,1.0,1,0.0
11,1.1,1.0,1,0.31622776601683794
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,0.5,0.5,0,0.5270462766947299
16,1.0,1.0,1,0.0
17,0.0,0.0,0,0.0
18,1.2,1.0,1,0.4216370213557839
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,1.0,1.0,1,0.0
22,0.1,0.0,0,0.31622776601683794
23,0.0,0.0,0,0.0
24,1.0,1.0,1,0.0
25,0.0,0.0,0,0.0
26,1.0,1.0,1,0.0
27,0.0,0.0,0,0.0
28,1.0,1.0,1,0.0
29,0.0,0.0,0,0.0
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.9,1.0,1,0.31622776601683794
34,1.2,1.0,1,0.42163702135578385
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,1.6,2.0,2,0.5163977794943222
