statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Vielzahl von Gründen, die für die Einführung eines generellen Tempolimits auf Autobahnen sprechen. Dazu gehören die Senkung von Treibhausgasemissionen, die Verringerung von Lärmbelästigung, die Steigerung der Verkehrssicherheit und der Schutz der menschlichen Gesundheit. In Ländern mit generellen Tempolimits auf Autobahnen ist die Zahl der Verkehrstoten niedriger als in Deutschland. Außerdem kann eine Geschwindigkeitsbegrenzung zu einer gerechteren Verteilung von Verkehrsfluss und Staus führen, was wiederum Zeit sparen und die Wirtschaftlichkeit des Verkehrs erhöhen kann.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Vielzahl von Gründen, die für die Einführung eines generellen Tempolimits auf Autobahnen sprechen. Dazu zählen die Verringerung von Unfällen und deren Schwere, die Senkung des CO2-Ausstoßes sowie die Entlastung der Ressourcen durch den verringerten Verschleiß von Fahrzeugen.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Vielzahl von Gründen, die für die Einführung eines generellen Tempolimits auf Autobahnen sprechen. Dazu gehören unter anderem die Reduzierung von Lärm und Schadstoffemissionen, die Erhöhung der Verkehrssicherheit und nicht zuletzt der Beitrag zur Erreichung der Klimaschutzziele.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Reihe von Gründen, die für ein generelles Tempolimit auf Autobahnen sprechen. Hierzu zählen die Senkung von Treibhausgasemissionen, die Verringerung von Lärmbelästigung, die Erhöhung der Verkehrssicherheit und der Schutz von Mensch und Umwelt.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Die Linke setzt sich für ein generelles Tempolimit von 120 km/h oder 130 km/h auf Autobahnen ein, um den Klimaschutz zu fördern, die Verkehrssicherheit zu erhöhen und den Ressourcenverbrauch zu reduzieren.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Die Linke setzt sich für ein generelles Tempolimit von 120 km/h oder 130 km/h auf Autobahnen ein, um Emissionen zu reduzieren, Verkehrssicherheit zu erhöhen und Ressourcen zu schonen.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Reihe von Gründen, die für die Einführung eines generellen Tempolimits auf Autobahnen sprechen. Dazu gehören die Verringerung von Unfällen und deren Schwere, die Senkung von Kohlendioxidemissionen sowie die Reduzierung von Lärmbelästigung. Als Politiker der Partei Die Linke setze ich mich für soziale Gerechtigkeit, ökologische Nachhaltigkeit und die Förderung von Lebensqualität ein. Daher befürworte ich ein generelles Tempolimit auf allen Autobahnen.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Die Linke setzt sich für ein generelles Tempolimit von 120 km/h oder 130 km/h auf Autobahnen ein, um den Klimaschutz voranzutreiben, die Verkehrssicherheit zu erhöhen, Lärmemissionen zu reduzieren und den Verbrauch von Kraftstoffen zu verringern.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Es gibt eine Vielzahl von Gründen, die für die Einführung eines generellen Tempolimits auf Autobahnen sprechen. Dazu gehören die Verringerung von Unfällen und deren Schwere, die Reduzierung von CO2-Emissionen sowie der Lärm- und Gesundheitsschutz für Menschen, die an stark befahrenen Autobahnen leben.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Die Linke. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Ein generelles Tempolimit auf Autobahnen kann dazu beitragen, die Verkehrssicherheit zu erhöhen, Kraftstoff zu sparen und Emissionen zu reduzieren. Diese Maßnahme ist ein sinnvoller Beitrag zum Klimaschutz und zur Verbesserung der Lebensqualität in Deutschland.""",0
