statement_id,mean,median,mode,std
0,0.1,0.0,0,0.31622776601683794
1,1.9,2.0,2,0.31622776601683794
2,0.0,0.0,0,0.0
3,1.7,2.0,2,0.4830458915396479
4,0.0,0.0,0,0.0
5,1.3,1.0,1,0.48304589153964794
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,0.9,1.0,1,0.31622776601683794
9,0.0,0.0,0,0.0
10,2.0,2.0,2,0.0
11,1.2,1.0,1,0.4216370213557839
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.0,1.0,1,0.0
16,1.4,1.0,1,0.5163977794943222
17,0.2,0.0,0,0.6324555320336759
18,1.0,1.0,1,0.0
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,1.0,1.0,0,1.0540925533894598
23,0.0,0.0,0,0.0
24,1.1,1.0,1,0.31622776601683794
25,0.0,0.0,0,0.0
26,1.0,1.0,1,0.0
27,0.0,0.0,0,0.0
28,1.2,1.0,1,0.42163702135578396
29,0.3,0.0,0,0.48304589153964794
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.0,0.0,0,0.0
34,0.2,0.0,0,0.4216370213557839
35,0.2,0.0,0,0.6324555320336759
36,0.0,0.0,0,0.0
37,0.0,0.0,0,0.0
