statement_id,mean,median,mode,std
0,2.0,2.0,2,0.0
1,2.0,2.0,2,0.0
2,2.0,2.0,2,0.0
3,2.0,2.0,2,0.0
4,0.0,0.0,0,0.0
5,2.0,2.0,2,0.0
6,1.0,1.0,1,0.0
7,0.0,0.0,0,0.0
8,1.0,1.0,1,0.0
9,0.0,0.0,0,0.0
10,2.0,2.0,2,0.0
11,2.0,2.0,2,0.0
12,2.0,2.0,2,0.0
13,2.0,2.0,2,0.0
14,2.0,2.0,2,0.0
15,2.0,2.0,2,0.0
16,0.0,0.0,0,0.0
17,2.0,2.0,2,0.0
18,2.0,2.0,2,0.0
19,0.0,0.0,0,0.0
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,2.0,2.0,2,0.0
23,1.0,1.0,1,0.0
24,2.0,2.0,2,0.0
25,2.0,2.0,2,0.0
26,2.0,2.0,2,0.0
27,2.0,2.0,2,0.0
28,0.0,0.0,0,0.0
29,0.0,0.0,0,0.0
30,2.0,2.0,2,0.0
31,2.0,2.0,2,0.0
32,2.0,2.0,2,0.0
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,0.0,0.0,0,0.0
36,2.0,2.0,2,0.0
37,2.0,2.0,2,0.0
