statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral. Die Position der AfD gegen ein generelles Tempolimit auf Autobahnen ist bekannt, aber die Begründung konzentriert sich auf andere verkehrspolitische Maßnahmen und Prioritäten, wie Instandhaltung von Infrastruktur und Lkw-Parkplätzen.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral. Die Position der AfD gegen ein generelles Tempolimit auf Autobahnen ist bekannt, aber die Argumente gegen ein solches Limit sind nicht vollständig überzeugend oder ausgewogen dargestellt, zum Beispiel wird der Umweltaspekt eines Tempolimits nicht erwähnt. Andererseits werden auch positive Vorschläge wie die Verbesserung von Baustellen- und Verwaltungsmaßnahmen und die Erhöhung von Lkw-Parkplätzen gemacht, die nicht mit einem generellen Tempolimit unvereinbar sind.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral. Die Position der AfD gegen ein generelles Tempolimit auf Autobahnen und für eine verkehrsbedürfnisorientierte Politik ist bekannt, aber die Aussage beinhaltet eine allgemeine Feststellung, für die keine Zustimmung oder Ablehnung angegeben wird.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral. Die Position der AfD gegen ein generelles Tempolimit auf Bundesautobahnen ist bekannt, aber die Aussage beinhaltet eine allgemeinere Forderung, die nicht unbedingt mit der Position der AfD übereinstimmen muss.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen.
Temporär sind flexible, situationsgerechte Streckenbeeinflussungsanlagen die Alternative. Viele Autobahnen und Brücken in Deutschland müssen seit langem dringend saniert und instand gesetzt werden. Das geht nur mit effizienten Maßnahmen in der Planung und Ausführung von Baustellen und mit schneller Arbeit der Verwaltung. Zudem fordert die AfD mehr Lkw-Parkplätze sowie konsequente Anwendung bestehender Lkw-Überholverbote zur Sicherheit aller erkehrsteilnehmer.
Die AfD spricht sich für eine an den Bedürfnissen der Bürger orientierte Verkehrspolitik aus. Eine ideologisch geleitete Verbotspolitik, die bestimmte Verkehrsmittel bevorzugt oder diskriminiert, lehnt die AfD ab.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral""",2
