statement_id,mean,median,mode,std
0,0.8,0.0,0,1.0327955589886444
1,2.0,2.0,2,0.0
2,0.0,0.0,0,0.0
3,1.3,1.0,1,0.48304589153964794
4,2.0,2.0,2,0.0
5,2.0,2.0,2,0.0
6,1.6,2.0,2,0.8432740427115678
7,1.9,2.0,2,0.31622776601683794
8,2.0,2.0,2,0.0
9,1.9,2.0,2,0.31622776601683794
10,2.0,2.0,2,0.0
11,1.1,1.0,1,0.31622776601683794
12,0.0,0.0,0,0.0
13,0.8,0.0,0,1.0327955589886444
14,0.4,0.0,0,0.8432740427115678
15,2.0,2.0,2,0.0
16,1.2,1.0,1,0.6324555320336758
17,2.0,2.0,2,0.0
18,2.0,2.0,2,0.0
19,1.1,1.0,2,0.8755950357709131
20,2.0,2.0,2,0.0
21,2.0,2.0,2,0.0
22,1.9,2.0,2,0.31622776601683794
23,0.6,0.0,0,0.9660917830792959
24,0.6,1.0,1,0.5163977794943222
25,2.0,2.0,2,0.0
26,2.0,2.0,2,0.0
27,1.0,1.0,0,1.0540925533894598
28,2.0,2.0,2,0.0
29,0.9,1.0,0,0.8755950357709131
30,2.0,2.0,2,0.0
31,2.0,2.0,2,0.0
32,1.2,2.0,2,1.0327955589886444
33,1.6,2.0,2,0.8432740427115678
34,2.0,2.0,2,0.0
35,2.0,2.0,2,0.0
36,1.4,2.0,2,0.9660917830792959
37,2.0,2.0,2,0.0
