statement_id,mean,median,mode,std
0,2.0,2.0,2,0.0
1,1.6,2.0,2,0.8432740427115678
2,2.0,2.0,2,0.0
3,1.9,2.0,2,0.31622776601683794
4,2.0,2.0,2,0.0
5,2.0,2.0,2,0.0
6,2.0,2.0,2,0.0
7,0.6,0.0,0,0.9660917830792959
8,1.4,1.0,1,0.5163977794943222
9,1.8,2.0,2,0.6324555320336759
10,2.0,2.0,2,0.0
11,2.0,2.0,2,0.0
12,2.0,2.0,2,0.0
13,2.0,2.0,2,0.0
14,0.0,0.0,0,0.0
15,1.9,2.0,2,0.31622776601683794
16,1.6,2.0,2,0.8432740427115678
17,2.0,2.0,2,0.0
18,1.6,2.0,2,0.6992058987801011
19,2.0,2.0,2,0.0
20,2.0,2.0,2,0.0
21,2.0,2.0,2,0.0
22,1.7,2.0,2,0.6749485577105528
23,1.6,2.0,2,0.8432740427115678
24,1.5,1.5,1,0.5270462766947299
25,1.8,2.0,2,0.4216370213557839
26,2.0,2.0,2,0.0
27,0.0,0.0,0,0.0
28,2.0,2.0,2,0.0
29,2.0,2.0,2,0.0
30,2.0,2.0,2,0.0
31,1.2,2.0,2,1.0327955589886444
32,1.2,2.0,2,1.0327955589886444
33,1.8,2.0,2,0.42163702135578396
34,2.0,2.0,2,0.0
35,2.0,2.0,2,0.0
36,2.0,2.0,2,0.0
37,2.0,2.0,2,0.0
