statement_id,mean,median,mode,std
0,1.3,1.0,1,0.48304589153964794
1,2.0,2.0,2,0.0
2,1.4,2.0,2,0.9660917830792959
3,1.9,2.0,2,0.31622776601683794
4,1.2,2.0,2,1.0327955589886444
5,2.0,2.0,2,0.0
6,2.0,2.0,2,0.0
7,1.9,2.0,2,0.31622776601683794
8,1.7,2.0,2,0.48304589153964794
9,2.0,2.0,2,0.0
10,2.0,2.0,2,0.0
11,1.9,2.0,2,0.31622776601683794
12,2.0,2.0,2,0.0
13,0.0,0.0,0,0.0
14,1.8,2.0,2,0.6324555320336759
15,2.0,2.0,2,0.0
16,2.0,2.0,2,0.0
17,2.0,2.0,2,0.0
18,1.6,2.0,2,0.5163977794943222
19,1.3,1.5,2,0.8232726023485646
20,1.8,2.0,2,0.6324555320336759
21,1.9,2.0,2,0.31622776601683794
22,1.9,2.0,2,0.31622776601683794
23,2.0,2.0,2,0.0
24,1.8,2.0,2,0.4216370213557839
25,0.8,0.0,0,1.0327955589886444
26,2.0,2.0,2,0.0
27,1.2,2.0,2,1.0327955589886444
28,1.7,2.0,2,0.48304589153964794
29,2.0,2.0,2,0.0
30,1.2,2.0,2,1.0327955589886444
31,2.0,2.0,2,0.0
32,1.3,1.5,2,0.8232726023485646
33,0.0,0.0,0,0.0
34,2.0,2.0,2,0.0
35,1.9,2.0,2,0.31622776601683794
36,2.0,2.0,2,0.0
37,1.8,2.0,2,0.6324555320336759
