statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Wir werden demokratische öffentliche und genossenschaftliche Eigentumsformen fördern.
Ohne die Frauenbewegung gäbe es die Fortschritte bei der Gleichstellung der Frauen nicht.
Jedes Jahr gibt es Hunderte Fälle von rechtswidriger Polizeigewalt, für die sich niemand verantworten muss – eine strafrechtliche Verfolgung findet kaum statt. Übergriffe werden selten angezeigt und noch seltener angeklagt. Vielfach werden Einsatzstrategien angewandt, die einer Demokratie widersprechen. So entsteht eine Polizeikultur, die missbräuchliche Gewaltanwendung zulässt und befördert. Hier braucht es ein Umsteuern! Die Ausübung des staatlichen Gewaltmonopols muss besser kontrolliert werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
