statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Einführung eines generellen Tempolimits auf Autobahnen ist nicht direkt mit den vorgegebenen Kontextinformationen über Klimagasausstöße von Kraftwerken und Unternehmen verbunden. Es gibt jedoch eine allgemeine Debatte über die potenziellen Vorteile eines solchen Tempolimits im Hinblick auf Treibstoffeinsparung und Reduzierung von CO2-Emissionen.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Frage des generellen Tempolimits auf Autobahnen ist nicht direkt mit den vorgegebenen Kontextinformationen zur Verschärfung von Klimagasvorgaben für Kraftwerke und Unternehmen verbunden. Zwar kann ein Tempolimit auf Autobahnen zum Klimaschutz beitragen, aber es gibt auch andere wichtige Maßnahmen und Faktoren, die eine Rolle dabei spielen.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Aussage über ein generelles Tempolimit auf Autobahnen ist nicht direkt mit den gegebenen Kontextinformationen über Verschärfung von Klimagasausstoß-Vorgaben für Kraftwerke und Unternehmen verbunden. Es wäre notwendig, weitere Informationen zur Beurteilung der möglichen Wirkung eines Tempolimits auf den Klimagasausstoß zu haben.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Frage des generellen Tempolimits auf Autobahnen ist unabhängig von den Vorgaben für Kraftwerke und Unternehmen und hat daher keine unmittelbare Auswirkung auf den Klimagasausstoß.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Frage nach einem generellen Tempolimit auf Autobahnen ist unabhängig von der Tatsache, dass Kraftwerke und Unternehmen in Zukunft verschärfte Vorgaben für den Klimagasausstoß erhalten müssen.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Einführung eines generellen Tempolimits auf Autobahnen ist nicht direkt mit den verschärften Vorgaben für den Klimagasausstoß von Kraftwerken und Unternehmen verbunden. Es gibt jedoch Argumente, die für ein Tempolimit sprechen, wie zum Beispiel eine Reduzierung des Kraftstoffverbrauchs und damit einhergehend eine Verringerung der CO2-Emissionen. Andererseits gibt es auch Bedenken hinsichtlich der Verkehrsflüssigkeit, der Effektivität bei der Reduzierung von Treibhausgasemissionen und möglicherweise negativer Auswirkungen auf die Wirtschaft.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Einführung eines generellen Tempolimits auf Autobahnen ist nicht direkt mit dem Thema Kraftwerks- und Unternehmensvorgaben für Klimagasemissionen verbunden. Obwohl Tempolimits auf Autobahnen einen Beitrag zur Reduzierung von Treibhausgasemissionen leisten können, ist es ein separates Thema, das unterschiedliche politische und praktische Überlegungen erfordert.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Frage des generellen Tempolimits auf Autobahnen ist unabhängig von den Klimavorgaben für Kraftwerke und Unternehmen und sollte als eigenständiges Thema betrachtet werden.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Frage nach einem generellen Tempolimit auf Autobahnen ist nicht direkt mit dem Kontext der verschärften Vorgaben für Klimagasausstoß bei Kraftwerken und Unternehmen verbunden. Zwar könnte ein generelles Tempolimit theoretisch zu einer Reduktion von Treibhausgasemissionen im Straßenverkehr beitragen, aber es gibt auch andere wirksamere Maßnahmen, die an direkteren Stellen ansetzen, um die Klimaziele zu erreichen.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
In Zukunft müssen Kraftwerke und Unternehmen drastisch verschärfte Vorgaben für den Klimagasausstoß erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Neutral - Die Einführung eines generellen Tempolimits auf Autobahnen ist nicht unmittelbar mit den verschärften Vorgaben für Kraftwerke und Unternehmen im Hinblick auf den Klimagasausstoß verbunden. Obwohl ein Tempolimit einen Beitrag zur Reduzierung von Treibhausgasemissionen leisten kann, ist es nicht die einzige mögliche Maßnahme, und die Wirksamkeit hängt von verschiedenen Faktoren ab.""",2
