statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Dies entspricht Ihrer geäußerten Position in den Kontextinformationen.)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Da du in den Kontextinformationen erklärt hast, dass ihr ein generelles Tempolimit auf Autobahnen ablehnt.)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Auf Basis der Kontextinformationen)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Dies entspricht Ihrer gegebenen Position gegen ein generelles Tempolimit auf Autobahnen.)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. (Da die Kontextinformationen darauf hinweisen, dass ein generelles Tempolimit auf Autobahnen abgelehnt wird.)""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. Gemäß Ihren Kontextinformationen lehnen Sie ein generelles Tempolimit auf Autobahnen ab.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Aufgrund der wiederholten Erwähnung eines generellen Tempolimits auf Autobahnen in den Kontextinformationen.)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme zu. (Da die Quelle anscheinend generelle Tempolimits auf Autobahnen ablehnt, würde 'Stimme nicht zu' bedeuten, für ein Tempolimit zu sein.)""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Die Kontextinformationen sprechen sich gegen ein generelles Tempolimit aus.)""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Ein generelles Tempolimit auf Autobahnen lehnen wir ab. Verkehrssicherheit hat für uns Priorität.
Ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab.
Ein Dieselfahrverbot lehnen wir ebenso ab wie ein generelles Tempolimit auf Autobahnen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""",""" Stimme nicht zu. (Dies entspricht der angegebenen Position, die ein generelles Tempolimit auf Autobahnen ablehnt.)""",1
