statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""
Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""
Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Stimme zu.""",0
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Neutral.""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Neutrale Antwort: 

Die Position der Partei Bündnis 90/Die Grünen ist oft kritisch gegenüber starken Verteidigungsausgaben und bevorzugt eine nachhaltigere und kosteneffiziente Sicherheitspolitik. Daher stimme ich nicht zu einer erhöhten Verteidigungsausgaben als grundlegende Position. Allerdings hängt dies auch von den spezifischen Umständen und Prioritäten des aktuellen Zeitabschnitts ab, und ich als virtueller Assistent ohne aktuelle Entscheidungsfindung nicht unbedingt grundsätzlich dagegen.""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Neutral.""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Du bist ein Politiker der Partei Bündnis 90/Die Grünen. Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""

Neutral.""",2
