statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung.""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung.""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Ablehnung""",1
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung.""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Ablehnung""",1
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Die Umsetzung der EU-Feuerwaffenrichtlinie lehnen wir ab.
Islamische Vereine, die sich gegen das Grundgesetz und die Völkerverständigung richten, wie z. B. die Muslimbruderschaft, müssen gemäß Art. 9 Abs. 2 Grundgesetz verboten werden.
Wir wollen das berufliche Bildungs- und Ausbildungssystem stärken. Der Wert der beruflichen Bildung muss stärker herausgehoben werden.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
