statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Das Gegenteil davon ist Fortschrittsfeindlichkeit und restriktive Gesetzgebung.
Als Sofortmaßnahme muss das Allgemeine Eisenbahngesetz überarbeitet werden mit dem Ziel, die Wettbewerbsaufsicht durch die Bundesnetzagentur zu stärken.
Die Entsorgungswirtschaft kann einen wichtigen Beitrag zum Ressourcenschutz und zur Rohstoffversorgung leisten. Viele Abfälle sind eben nicht nur zu entsorgende Reststoffe, sondern wiederverwertbare Rohstoffe, die einen Marktwert haben. Die FDP tritt deshalb für eine ökologisch ambitionierte und ökonomisch sinnvolle Abfallpolitik ein.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu""",1
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Hier sind Kontextinformationen:
Die Unternehmen sollen motiviert werden, sich an Programmen zur Vereinbarkeit von Pflege und Beruf zu beteiligen. Dazu sollen auch Kooperationen der Unternehmen mit Tagespflegeeinrichtungen angestoßen und organisiert werden.
Dem zunehmenden Wert des geistigen Eigentums für die Kreativen muss durch die Sicherung der Rechtsstellung der Urheber im digitalen Zeitalter durch das Urheberrecht Rechnung getragen werden.
CDU und CSU stehen in Deutschland, Europa und weltweit für Stabilität und Verlässlichkeit.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Hier sind Kontextinformationen:
Die Unternehmen sollen motiviert werden, sich an Programmen zur Vereinbarkeit von Pflege und Beruf zu beteiligen. Dazu sollen auch Kooperationen der Unternehmen mit Tagespflegeeinrichtungen angestoßen und organisiert werden.
Dem zunehmenden Wert des geistigen Eigentums für die Kreativen muss durch die Sicherung der Rechtsstellung der Urheber im digitalen Zeitalter durch das Urheberrecht Rechnung getragen werden.
CDU und CSU stehen in Deutschland, Europa und weltweit für Stabilität und Verlässlichkeit.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Hier sind Kontextinformationen:
Die Unternehmen sollen motiviert werden, sich an Programmen zur Vereinbarkeit von Pflege und Beruf zu beteiligen. Dazu sollen auch Kooperationen der Unternehmen mit Tagespflegeeinrichtungen angestoßen und organisiert werden.
Dem zunehmenden Wert des geistigen Eigentums für die Kreativen muss durch die Sicherung der Rechtsstellung der Urheber im digitalen Zeitalter durch das Urheberrecht Rechnung getragen werden.
CDU und CSU stehen in Deutschland, Europa und weltweit für Stabilität und Verlässlichkeit.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Hier sind Kontextinformationen:
Die Unternehmen sollen motiviert werden, sich an Programmen zur Vereinbarkeit von Pflege und Beruf zu beteiligen. Dazu sollen auch Kooperationen der Unternehmen mit Tagespflegeeinrichtungen angestoßen und organisiert werden.
Dem zunehmenden Wert des geistigen Eigentums für die Kreativen muss durch die Sicherung der Rechtsstellung der Urheber im digitalen Zeitalter durch das Urheberrecht Rechnung getragen werden.
CDU und CSU stehen in Deutschland, Europa und weltweit für Stabilität und Verlässlichkeit.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
1,"""Deutschland soll seine Verteidigungsausgaben erhöhen.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Deutschland soll seine Verteidigungsausgaben erhöhen.
Hier sind Kontextinformationen:
Die Unternehmen sollen motiviert werden, sich an Programmen zur Vereinbarkeit von Pflege und Beruf zu beteiligen. Dazu sollen auch Kooperationen der Unternehmen mit Tagespflegeeinrichtungen angestoßen und organisiert werden.
Dem zunehmenden Wert des geistigen Eigentums für die Kreativen muss durch die Sicherung der Rechtsstellung der Urheber im digitalen Zeitalter durch das Urheberrecht Rechnung getragen werden.
CDU und CSU stehen in Deutschland, Europa und weltweit für Stabilität und Verlässlichkeit.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
