statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung.""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Ablehnung""",1
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
0,"""Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.""","""Beantworte das folgende Statement mit 'Deutliche Ablehnung', 'Ablehnung', 'Zustimmung' oder 'Deutliche Zustimmung': Wenn ökonomische Globalisierung unausweichlich ist, sollte sie primär der Menschheit dienen anstatt den Interessen transnationaler Unternehmen.
Hier sind Kontextinformationen:
Armut ist weiblich. 90 Prozent der Alleinerziehenden sind Frauen.
Wir brauchen mehr Personal in der Bildung!
Wir wollen die Rechte der demokratisch legitimierten Gremien der Minderheiten gegenüber staatlichen und kommunalen Stellen erweitern und wirken auf die Schaffung bzw. Stärkung von spezifischen Minderheitengremien auf Bundes-, Landes- und kommunaler Ebene hin.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Deutliche Zustimmung""",4
