statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral.""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.
Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.
Als Quasi-Oligopol wollen wir die Anbieter großer sozialer Medien wie Facebook, Twitter oder Instagram dazu verpflichten, die Meinungsfreiheit ihrer Nutzer zu respektieren. Das Internet muss als Ort der freien Meinungsäußerung erhalten bleiben. „Faktenprüfer“ und Meinungswächter dürfen keine staatliche Finanzierung erhalten.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
