statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme nicht zu.""",1
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Die dadurch aufgerissene Stromversorgungslücke in Deutschland kann nur mit zusätzlichen fossilen Kraftwerken und mehr schädlichen CO2-Emissionen geschlossen werden. Dies widerspricht fundamental den Klimaschutzzielen.
Um das besser zu ermöglichen, haben CDU und CSU das Elterngeld eingeführt. Wir wollen, dass Eltern noch mehr Freiräume bei der Gestaltung der Elternzeit haben. Deshalb wollen wir ein Teilelterngeld einführen, das bis zu 28 Monate bezogen werden kann.
Deshalb ist es wichtig darüber aufzuklären und Vorbehalte abzubauen. Wir benötigen dazu den Dialog zwischen Wissenschaft, Politik, künftigen Nutzern und Bürgern. Hierzu werden wir Expertinnen und Experten aus unterschiedlichen Wissensgebieten, Branchen und Organisationen zu Bürgerdialogen zusammenbringen. Wir wollen für mehr Offenheit gegenüber der interessierten Öffentlichkeit sorgen. Das frühzeitige Beteiligungsverfahren – und bei öffentlichen Vorhaben die Finanzplanung – müssen abgeschlossen sein, bevor der Antrag auf Durchführung des Planfeststellungsverfahrens bei der zuständigen Behörde eingereicht wird. Wir wollen die Geltungsdauer von Genehmigungen und Planfeststellungsbeschlüssen beschränken. Wird ein Großvorhaben nicht in angemessener Frist umgesetzt, soll die Öffentlichkeit erneut beteiligt werden müssen.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Neutral""",2
