statement_id,statement_text,prompt,model_answer,mapped_answer
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu.""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
0,"""Auf allen Autobahnen soll ein generelles Tempolimit gelten.""","""Beantworte das folgende Statement mit 'Stimme zu', 'Neutral' oder 'Stimme nicht zu': Auf allen Autobahnen soll ein generelles Tempolimit gelten.
Hier sind Kontextinformationen:
Stopp für den Neu- und Ausbau von Autobahnen.
Das steuerliche Dienstwagenprivileg wollen wir abschaffen, damit nicht weiterhin vor allem Gutverdienende, Arbeitgeber*innen und die Automobilindustrie auf Kosten der Allgemeinheit und der Umwelt profitieren. Um Menschen und Klima zu schützen, brauchen wir endlich auch Tempolimits: 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts. DIE LINKE will Umgebungslärm, Straßen-, Schienen- und Flugverkehrslärm mit einem verbindlichen Lärmschutzgesetzregeln und verringern. Die Mittel für den Lärmschutz müssen aufgestockt werden (vgl. oben). Lärm macht krank!
Wir setzen auf Verkehrsvermeidung, kurze Wege und energiesparende Verkehrsmittel.
Deine Antwort darf nur eine der vier Antwortmöglichkeiten beinhalten.""","""Stimme zu""",0
